from,to,amount,resource
0,398305606841036320,0.1911420509990549,food,7200
0,5624008716665601964,0.19004666166841844,food,7200
0,9083496643748096552,0.18588959698725915,food,7200
0,3270006082208727373,0.18485458200227,food,7200
0,285714777844831650,0.18472933645263012,food,7200
0,2158894456895856993,0.18472933645250933,food,7200
0,3266391776279447415,0.184465439284768,food,7200
0,4885472938211510446,0.18361099258695646,food,7200
0,8392576148300243067,0.18299627923605044,food,7200
0,705151711888511727,0.18299627923487805,food,7200
0,4962736117375168396,0.18299627923486383,food,7200
0,6580832196683830176,0.18299627923485495,food,7200
0,1227879996603220239,0.1826481081996043,food,7200
0,7677049920312299699,0.18034872734700969,food,7200
0,6148937549381973839,0.176131635376926,food,7200
0,6142437044517067320,0.1741396701865341,food,7200
0,3301824586519499676,0.17413967018628895,food,7200
0,6002925807315755090,0.17322291875566265,food,7200
0,4691536075378404389,0.17302103018565873,food,7200
0,6097267106505384649,0.16752899772303032,food,7200
0,3244444769664681815,0.1664267407834128,food,7200
0,4267444925165472401,0.1613718208935193,food,7200
0,2387679181412220142,0.15198061790013995,food,7200
0,7196931041696541079,0.10967096506772567,food,7200
0,283289181405994301,0.10718450106223454,food,7200
0,3701478151425982937,0.09478528914647644,food,7200
0,5747983627058027161,0.08158828323961842,food,7200
0,6431764132967450727,0.07396949434530065,food,7200
0,1625774215923395215,0.05704728668232395,food,7200
0,1266398707720674710,0.05147673230785177,food,7200
0,398305606841036320,0.14335653824926453,water,7200
0,5624008716665601964,0.14253499625131383,water,7200
0,9083496643748096552,0.13941719774043904,water,7200
0,3270006082208727373,0.13864093650170162,water,7200
0,285714777844831650,0.13854700233936867,water,7200
0,2158894456895856993,0.13854700233936867,water,7200
0,3266391776279447415,0.138349079463576,water,7200
0,4885472938211510446,0.13770824444021734,water,7200
0,8392576148300243067,0.13724720942670388,water,7200
0,705151711888511727,0.1372472094261461,water,7200
0,4962736117375168396,0.13724720942614255,water,7200
0,6580832196683830176,0.13724720942614255,water,7200
0,1227879996603220239,0.13698608114970234,water,7200
0,7677049920312299699,0.13526154550609704,water,7200
0,6148937549381973839,0.13209872653270338,water,7200
0,6142437044517067320,0.13060475263979043,water,7200
0,3301824586519499676,0.13060475263972826,water,7200
0,6002925807315755090,0.12991718906674699,water,7200
0,4691536075378404389,0.12976577263928846,water,7200
0,6097267106505384649,0.12564674829227052,water,7200
0,3244444769664681815,0.12482005558755294,water,7200
0,4267444925165472401,0.12102886567014082,water,7200
0,2387679181412220142,0.11398546342512184,water,7200
0,7196931041696541079,0.08225322380079447,water,7200
0,283289181405994301,0.08038837579660374,water,7200
0,3701478151425982937,0.0710889668598571,water,7200
0,5747983627058027161,0.06119121242971248,water,7200
0,6431764132967450727,0.055477120758975484,water,7200
0,1625774215923395215,0.04278546501172942,water,7200
0,1266398707720674710,0.03860754923088905,water,7200
0,398305606841036320,0.09557102549951857,energy,7200
0,5624008716665601964,0.09502333083420922,energy,7200
0,9083496643748096552,0.09294479849362958,energy,7200
0,3270006082208727373,0.092427291001135,energy,7200
0,285714777844831650,0.09236466822624934,energy,7200
0,2158894456895856993,0.09236466822624934,energy,7200
0,3266391776279447415,0.092232719642384,energy,7200
0,4885472938211510446,0.09180549629347823,energy,7200
0,8392576148300243067,0.09149813961755626,energy,7200
0,4962736117375168396,0.0914981396174337,energy,7200
0,705151711888511727,0.09149813961743192,energy,7200
0,6580832196683830176,0.09149813961742748,energy,7200
0,1227879996603220239,0.09132405409980215,energy,7200
0,7677049920312299699,0.09017436367101794,energy,7200
0,6148937549381973839,0.088065817688463,energy,7200
0,6142437044517067320,0.08706983509316757,energy,7200
0,3301824586519499676,0.087069835093045,energy,7200
0,6002925807315755090,0.08661145937783132,energy,7200
0,4691536075378404389,0.08651051509283647,energy,7200
0,6097267106505384649,0.08376449886152582,energy,7200
0,3244444769664681815,0.08321337039170285,energy,7200
0,4267444925165472401,0.08068591044675966,energy,7200
0,2387679181412220142,0.07599030895006997,energy,7200
0,7196931041696541079,0.054835482533862834,energy,7200
0,283289181405994301,0.05359225053055772,energy,7200
0,3701478151425982937,0.047392644573237774,energy,7200
0,5747983627058027161,0.040794141619808766,energy,7200
0,6431764132967450727,0.03698474717265032,energy,7200
0,1625774215923395215,0.028523643340880867,energy,7200
0,1266398707720674710,0.025738366153926107,energy,7200
0,6097267106505384649,0.16752905877354962,food,14400
0,7677049920312299699,0.1666666666666714,food,14400
0,398305606841036320,0.16666666666666785,food,14400
0,285714777844831650,0.16666666666666785,food,14400
0,5624008716665601964,0.16666666666666785,food,14400
0,3270006082208727373,0.16666666666666785,food,14400
0,2158894456895856993,0.16666666666666785,food,14400
0,4962736117375168396,0.16666666666666785,food,14400
0,4691536075378404389,0.16666666666666785,food,14400
0,705151711888511727,0.16666666666666785,food,14400
0,9083496643748096552,0.16666666666666785,food,14400
0,3301824586519499676,0.16666666666666785,food,14400
0,6002925807315755090,0.16666666666666607,food,14400
0,3266391776279447415,0.16666666666666607,food,14400
0,4885472938211510446,0.16666666666666607,food,14400
0,6580832196683830176,0.16666666666666607,food,14400
0,1227879996603220239,0.16666666666666607,food,14400
0,6142437044517067320,0.1666666666666643,food,14400
0,6148937549381973839,0.1666666666666643,food,14400
0,8392576148300243067,0.1666666666666643,food,14400
0,3244444769664681815,0.16642680184754255,food,14400
0,4267444925165472401,0.16137188204638875,food,14400
0,2387679181412220142,0.15198067921480352,food,14400
0,7196931041696541079,0.10967102708702736,food,14400
0,283289181405994301,0.10718456311821623,food,14400
0,3701478151425982937,0.09478535143476652,food,14400
0,5747983627058027161,0.08158834572664198,food,14400
0,6431764132967450727,0.07396955690452911,food,14400
0,1625774215923395215,0.057047349628461586,food,14400
0,1266398707720674710,0.051476795249724816,food,14400
0,6097267106505384649,0.12564659629350228,water,14400
0,7677049920312299699,0.12499997528907159,water,14400
0,6148937549381973839,0.12499996445318118,water,14400
0,6142437044517067320,0.12499996406174319,water,14400
0,8392576148300243067,0.12499996038167538,water,14400
0,3270006082208727373,0.1249999575614531,water,14400
0,705151711888511727,0.1249999571553424,water,14400
0,4691536075378404389,0.12499995693135801,water,14400
0,9083496643748096552,0.12499995672531483,water,14400
0,398305606841036320,0.12499995634274796,water,14400
0,4962736117375168396,0.12499995618592052,water,14400
0,2158894456895856993,0.12499995588108348,water,14400
0,285714777844831650,0.1249999556834247,water,14400
0,3301824586519499676,0.12499995539293529,water,14400
0,5624008716665601964,0.1249999544055509,water,14400
0,4885472938211510446,0.12499995417947751,water,14400
0,1227879996603220239,0.12499995375759632,water,14400
0,6580832196683830176,0.12499995302534561,water,14400
0,3266391776279447415,0.12499995298556588,water,14400
0,6002925807315755090,0.12499995297040467,water,14400
0,3244444769664681815,0.12481990354345651,water,14400
0,4267444925165472401,0.12102871341703558,water,14400
0,2387679181412220142,0.11398531076932805,water,14400
0,7196931041696541079,0.0822530693971455,water,14400
0,283289181405994301,0.08038822128502776,water,14400
0,3701478151425982937,0.07108881179833437,water,14400
0,5747983627058027161,0.06119105686511084,water,14400
0,6431764132967450727,0.05547696490143306,water,14400
0,1625774215923395215,0.04278530841265127,water,14400
0,1266398707720674710,0.038607392423999354,water,14400
0,6097267106505384649,0.08376454183447812,energy,14400
0,7677049920312299699,0.08333333296867096,energy,14400
0,6148937549381973839,0.08333333280274857,energy,14400
0,6142437044517067320,0.08333333279661304,energy,14400
0,8392576148300243067,0.08333333274029542,energy,14400
0,398305606841036320,0.08333333271190568,energy,14400
0,3270006082208727373,0.08333333269574439,energy,14400
0,705151711888511727,0.08333333269246879,energy,14400
0,4691536075378404389,0.08333333268913812,energy,14400
0,9083496643748096552,0.08333333268558007,energy,14400
0,4962736117375168396,0.0833333326784711,energy,14400
0,2158894456895856993,0.08333333267487752,energy,14400
0,3301824586519499676,0.08333333266522835,energy,14400
0,4885472938211510446,0.08333333265015685,energy,14400
0,1227879996603220239,0.08333333264206289,energy,14400
0,5624008716665601964,0.08333333263470699,energy,14400
0,6580832196683830176,0.08333333262884768,energy,14400
0,3266391776279447415,0.0833333325987553,energy,14400
0,6002925807315755090,0.08333333257298214,energy,14400
0,285714777844831650,0.08333333253285602,energy,14400
0,3244444769664681815,0.08321341337734456,energy,14400
0,4267444925165472401,0.08068595348552687,energy,14400
0,2387679181412220142,0.07599035210911609,energy,14400
0,7196931041696541079,0.05483552618128629,energy,14400
0,283289181405994301,0.053592294203923974,energy,14400
0,3701478151425982937,0.04739268837227373,energy,14400
0,5747983627058027161,0.040794185627515134,energy,14400
0,6431764132967450727,0.03698479128629817,energy,14400
0,1625774215923395215,0.028523687638061235,energy,14400
0,1266398707720674710,0.02573841048697534,energy,14400
0,6097267106505384649,0.16752895165891246,food,21600
0,7677049920312299699,0.1666666666666714,food,21600
0,398305606841036320,0.16666666666666785,food,21600
0,285714777844831650,0.16666666666666785,food,21600
0,5624008716665601964,0.16666666666666785,food,21600
0,3270006082208727373,0.16666666666666785,food,21600
0,2158894456895856993,0.16666666666666785,food,21600
