from,to,amount,resource
3886992018762229705,4026787777676531958,0.17075171102439413,food,7200
3886992018762229705,4026787777676531958,0.12806378326833112,water,7200
3886992018762229705,4026787777676531958,0.08537585551221127,energy,7200
6088805036556068187,869539453722267130,0.20253901963945253,food,7200
6088805036556068187,5508870586049925066,0.181690763746424,food,7200
6088805036556068187,869539453722267130,0.15190426473015073,water,7200
6088805036556068187,5508870586049925066,0.13626807280986597,water,7200
6088805036556068187,869539453722267130,0.10126950981970495,energy,7200
6088805036556068187,5508870586049925066,0.09084538187314273,energy,7200
4525772218619371731,7252536915590079790,0.15441339945010313,food,7200
4525772218619371731,7252536915590079790,0.11581004958757557,water,7200
4525772218619371731,7252536915590079790,0.07720669972505068,energy,7200
7011693441046249768,7094336946459581091,0.08693893578993794,food,7200
7011693441046249768,7094336946459581091,0.0652042018439638,water,7200
7011693441046249768,7094336946459581091,0.043469467896323,energy,7200
3886992018762229705,4026787777676531958,0.16666666666668561,food,14400
3886992018762229705,4026787777676531958,0.12500000000000355,water,14400
3886992018762229705,4026787777676531958,0.08333333333333215,energy,14400
6088805036556068187,869539453722267130,0.17207633414956014,food,14400
6088805036556068187,5508870586049925066,0.16666666666648666,food,14400
6088805036556068187,869539453722267130,0.12905725061129836,water,14400
6088805036556068187,5508870586049925066,0.12499999999972822,water,14400
6088805036556068187,869539453722267130,0.08603816707505363,energy,14400
6088805036556068187,5508870586049925066,0.0833333333334263,energy,14400
4525772218619371731,7252536915590079790,0.15441339945010135,food,14400
4525772218619371731,7252536915590079790,0.11581004958757646,water,14400
4525772218619371731,7252536915590079790,0.07720669972505068,energy,14400
7011693441046249768,7094336946459581091,0.08693893579147716,food,14400
7011693441046249768,7094336946459581091,0.06520420184525122,water,14400
7011693441046249768,7094336946459581091,0.04346946789678041,energy,14400
3886992018762229705,4026787777676531958,0.16666666666664298,food,21600
3886992018762229705,4026787777676531958,0.125,water,21600
3886992018762229705,4026787777676531958,0.08333333333333215,energy,21600
4525772218619371731,7252536915590079790,0.15441339945010135,food,21600
4525772218619371731,7252536915590079790,0.11581004958757646,water,21600
4525772218619371731,7252536915590079790,0.07720669972505068,energy,21600
7011693441046249768,7094336946459581091,0.08693893579531853,food,21600
7011693441046249768,7094336946459581091,0.06520420184394204,water,21600
7011693441046249768,7094336946459581091,0.043469467896590785,energy,21600
4525772218619371731,7252536915590079790,0.3088267989002018,food,36000
4525772218619371731,7252536915590079790,0.23162009917515203,water,36000
4525772218619371731,7252536915590079790,0.15441339945009913,energy,36000
7011693441046249768,7094336946459581091,0.17387787158165313,food,36000
7011693441046249768,7094336946459581091,0.13040840368833306,water,36000
7011693441046249768,7094336946459581091,0.08693893579252121,energy,36000
3886992018762229705,4026787777676531958,0.33741837769110106,food,36000
3886992018762229705,4026787777676531958,0.25306378326831336,water,36000
3886992018762229705,4026787777676531958,0.16870918884553987,energy,36000
4525772218619371731,7252536915590079790,0.15441339945010135,food,43200
4525772218619371731,7252536915590079790,0.11581004958757646,water,43200
4525772218619371731,7252536915590079790,0.07720669972505068,energy,43200
7011693441046249768,7094336946459581091,0.08693893579449963,food,43200
7011693441046249768,7094336946459581091,0.06520420184541864,water,43200
7011693441046249768,7094336946459581091,0.04346946789640871,energy,43200
3886992018762229705,4026787777676531958,0.16666666666663588,food,43200
3886992018762229705,4026787777676531958,0.125,water,43200
3886992018762229705,4026787777676531958,0.08333333333333215,energy,43200
4525772218619371731,7252536915590079790,0.15441339945010135,food,50400
4525772218619371731,7252536915590079790,0.11581004958757468,water,50400
4525772218619371731,7252536915590079790,0.07720669972505068,energy,50400
7011693441046249768,7094336946459581091,0.08693893579172052,food,50400
7011693441046249768,7094336946459581091,0.06520420184383324,water,50400
7011693441046249768,7094336946459581091,0.04346946789619199,energy,50400
3886992018762229705,4026787777676531958,0.16666666666669272,food,50400
3886992018762229705,4026787777676531958,0.12500000000000355,water,50400
3886992018762229705,4026787777676531958,0.08333333333333215,energy,50400
4525772218619371731,7252536915590079790,0.15441339945010135,food,57600
4525772218619371731,7252536915590079790,0.11581004958757735,water,57600
4525772218619371731,7252536915590079790,0.07720669972505068,energy,57600
7011693441046249768,7094336946459581091,0.08693893579019596,food,57600
7011693441046249768,7094336946459581091,0.06520420184436437,water,57600
7011693441046249768,7094336946459581091,0.04346946789616424,energy,57600
3886992018762229705,4026787777676531958,0.1666666666666643,food,57600
3886992018762229705,4026787777676531958,0.125,water,57600
3886992018762229705,4026787777676531958,0.08333333333333215,energy,57600
4525772218619371731,7252536915590079790,0.15441339945010135,food,64800
4525772218619371731,7252536915590079790,0.11581004958757557,water,64800
4525772218619371731,7252536915590079790,0.07720669972505068,energy,64800
7011693441046249768,7094336946459581091,0.08693893579408085,food,64800
7011693441046249768,7094336946459581091,0.06520420184495057,water,64800
7011693441046249768,7094336946459581091,0.04346946789707018,energy,64800
3886992018762229705,4026787777676531958,0.1666666666666643,food,64800
3886992018762229705,4026787777676531958,0.12499999999999645,water,64800
3886992018762229705,4026787777676531958,0.08333333333333215,energy,64800
4525772218619371731,7252536915590079790,0.15441339945010135,food,72000
4525772218619371731,7252536915590079790,0.11581004958757646,water,72000
4525772218619371731,7252536915590079790,0.07720669972505068,energy,72000
7011693441046249768,7094336946459581091,0.08693893578828815,food,72000
7011693441046249768,7094336946459581091,0.06520420184594222,water,72000
7011693441046249768,7094336946459581091,0.04346946789703132,energy,72000
3886992018762229705,4026787777676531958,0.1666666666666643,food,72000
3886992018762229705,4026787777676531958,0.12500000000000355,water,72000
3886992018762229705,4026787777676531958,0.08333333333333215,energy,72000
4525772218619371731,7252536915590079790,0.15441339945010135,food,79200
4525772218619371731,7252536915590079790,0.11581004958757646,water,79200
4525772218619371731,7252536915590079790,0.07720669972505068,energy,79200
7011693441046249768,7094336946459581091,0.08693893579160727,food,79200
7011693441046249768,7094336946459581091,0.06520420184593423,water,79200
7011693441046249768,7094336946459581091,0.04346946789743167,energy,79200
3886992018762229705,4026787777676531958,0.1666666666666643,food,79200
3886992018762229705,4026787777676531958,0.125,water,79200
3886992018762229705,4026787777676531958,0.08333333333333215,energy,79200
4525772218619371731,7252536915590079790,0.15441339945010135,food,86400
4525772218619371731,7252536915590079790,0.11581004958757646,water,86400
4525772218619371731,7252536915590079790,0.07720669972505068,energy,86400
7011693441046249768,7094336946459581091,0.08693893579203449,food,86400
7011693441046249768,7094336946459581091,0.06520420184508291,water,86400
7011693441046249768,7094336946459581091,0.0434694678968115,energy,86400
3886992018762229705,4026787777676531958,0.1666666666666643,food,86400
3886992018762229705,4026787777676531958,0.125,water,86400
3886992018762229705,4026787777676531958,0.08333333333333215,energy,86400
4525772218619371731,7252536915590079790,0.15441339945010135,food,93600
4525772218619371731,7252536915590079790,0.11581004958757646,water,93600
4525772218619371731,7252536915590079790,0.07720669972505068,energy,93600
7011693441046249768,7094336946459581091,0.08693893579114453,food,93600
7011693441046249768,7094336946459581091,0.06520420184384124,water,93600
7011693441046249768,7094336946459581091,0.04346946789631567,energy,93600
3886992018762229705,4026787777676531958,0.1666666666666643,food,93600
3886992018762229705,4026787777676531958,0.125,water,93600
3886992018762229705,4026787777676531958,0.08333333333333215,energy,93600
3886992018762229705,4026787777676531958,0.17533301864448703,food,100800
3886992018762229705,4026787777676531958,0.13149976398337415,water,100800
3886992018762229705,4026787777676531958,0.08766650932224351,energy,100800
6088805036556068187,869539453722267130,2.116100283269418,food,100800
6088805036556068187,5508870586049925066,2.0444171050616404,food,100800
6088805036556068187,869539453722267130,1.5870752124524508,water,100800
6088805036556068187,5508870586049925066,1.5333128287963582,water,100800
6088805036556068187,869539453722267130,1.0580501416346753,energy,100800
6088805036556068187,5508870586049925066,1.0222085525307811,energy,100800
4525772218619371731,7252536915590079790,0.15441339945010046,food,100800
