from,to,amount,resource
3493086850808808200,6420001800299337092,0.1666666666669947,food,7200
3493086850808808200,6194618522311470537,0.09474246720382506,food,7200
3493086850808808200,6375426380529303667,0.06700994621498424,food,7200
3493086850808808200,6420001800299337092,0.12499999999996625,water,7200
3493086850808808200,6194618522311470537,0.0710568504040956,water,7200
3493086850808808200,6375426380529303667,0.050257459663000326,water,7200
3493086850808808200,6420001800299337092,0.08333333333334281,energy,7200
3493086850808808200,6194618522311470537,0.04737123360354856,energy,7200
3493086850808808200,6375426380529303667,0.033504973109223624,energy,7200
6238856559970940751,6763809029394057897,0.1973000435645762,food,7200
6238856559970940751,7248172894255258829,0.19730004356457442,food,7200
6238856559970940751,7338463587296278151,0.15814123337460195,food,7200
6238856559970940751,1211942972960712913,0.13656747314396167,food,7200
6238856559970940751,3219700226680981449,0.11897196129594256,food,7200
6238856559970940751,6049521960344641982,0.0929992710108154,food,7200
6238856559970940751,1559983501191855338,0.09279467524291896,food,7200
6238856559970940751,7248172894255258829,0.14797503267342726,water,7200
6238856559970940751,6763809029394057897,0.14797503267341838,water,7200
6238856559970940751,7338463587296278151,0.118605925031396,water,7200
6238856559970940751,1211942972960712913,0.10242560485859542,water,7200
6238856559970940751,3219700226680981449,0.08922897097274785,water,7200
6238856559970940751,6049521960344641982,0.06974945325913273,water,7200
6238856559970940751,1559983501191855338,0.06959600643327724,water,7200
6238856559970940751,7248172894255258829,0.09865002178229165,energy,7200
6238856559970940751,6763809029394057897,0.0986500217822881,energy,7200
6238856559970940751,7338463587296278151,0.07907061668767312,energy,7200
6238856559970940751,1211942972960712913,0.06828373657249598,energy,7200
6238856559970940751,3219700226680981449,0.05948598064853794,energy,7200
6238856559970940751,6049521960344641982,0.04649963550627101,energy,7200
6238856559970940751,1559983501191855338,0.046397337622275714,energy,7200
3217432972921225982,3199454641026992219,0.19730004356458863,food,7200
3217432972921225982,3064304136410128793,0.19730004356457442,food,7200
3217432972921225982,1052971792647907569,0.19054244930839914,food,7200
3217432972921225982,5365341903814566991,0.17743271558173923,food,7200
3217432972921225982,4211364624498445119,0.16987486956140252,food,7200
3217432972921225982,4237919380788690466,0.14616003292796265,food,7200
3217432972921225982,8293118091763985254,0.1318263134127582,food,7200
3217432972921225982,3199454641026992219,0.14797503267343792,water,7200
3217432972921225982,3064304136410128793,0.14797503267343082,water,7200
3217432972921225982,1052971792647907569,0.14290683698130913,water,7200
3217432972921225982,5365341903814566991,0.13307453668702607,water,7200
3217432972921225982,4211364624498445119,0.12740615217183748,water,7200
3217432972921225982,4237919380788690466,0.10962002469697385,water,7200
3217432972921225982,8293118091763985254,0.09886973506076302,water,7200
3217432972921225982,3199454641026992219,0.09865002178228899,energy,7200
3217432972921225982,3064304136410128793,0.09865002178228721,energy,7200
3217432972921225982,1052971792647907569,0.09527122465418891,energy,7200
3217432972921225982,5365341903814566991,0.08871635779155884,energy,7200
3217432972921225982,4211364624498445119,0.08493743478142957,energy,7200
3217432972921225982,4237919380788690466,0.0730800164649219,energy,7200
3217432972921225982,8293118091763985254,0.06591315670742048,energy,7200
3493086850808808200,6420001800299337092,0.1666666666660852,food,14400
3493086850808808200,6194618522311470537,0.09474246720263668,food,14400
3493086850808808200,6375426380529303667,0.06700994621340062,food,14400
3493086850808808200,6420001800299337092,0.12500000000008882,water,14400
3493086850808808200,6194618522311470537,0.07105685040408272,water,14400
3493086850808808200,6375426380529303667,0.05025745966278361,water,14400
3493086850808808200,6420001800299337092,0.08333333333338722,energy,14400
3493086850808808200,6194618522311470537,0.0473712336023584,energy,14400
3493086850808808200,6375426380529303667,0.0335049731081305,energy,14400
6238856559970940751,6763809029394057897,0.16666666666668029,food,14400
6238856559970940751,7248172894255258829,0.16666666666666785,food,14400
6238856559970940751,7338463587296278151,0.1581412333750496,food,14400
6238856559970940751,1211942972960712913,0.1365674731444928,food,14400
6238856559970940751,3219700226680981449,0.11897196129650478,food,14400
6238856559970940751,6049521960344641982,0.09299927101146377,food,14400
6238856559970940751,1559983501191855338,0.09279467524357887,food,14400
6238856559970940751,6763809029394057897,0.12500000000001066,water,14400
6238856559970940751,7248172894255258829,0.12500000000000178,water,14400
6238856559970940751,7338463587296278151,0.11860592503117395,water,14400
6238856559970940751,1211942972960712913,0.10242560485828456,water,14400
6238856559970940751,3219700226680981449,0.08922897097236593,water,14400
6238856559970940751,6049521960344641982,0.06974945325877568,water,14400
6238856559970940751,1559983501191855338,0.06959600643282382,water,14400
6238856559970940751,7248172894255258829,0.08333333333333304,energy,14400
6238856559970940751,6763809029394057897,0.08333333333332948,energy,14400
6238856559970940751,7338463587296278151,0.07907061668743154,energy,14400
6238856559970940751,1211942972960712913,0.06828373657222686,energy,14400
6238856559970940751,3219700226680981449,0.05948598064833677,energy,14400
6238856559970940751,6049521960344641982,0.04649963550591796,energy,14400
6238856559970940751,1559983501191855338,0.04639733762202036,energy,14400
3217432972921225982,5365341903814566991,0.17743271558263984,food,14400
3217432972921225982,4211364624498445119,0.16987486956227826,food,14400
3217432972921225982,1052971792647907569,0.16666666666664298,food,14400
3217432972921225982,3064304136410128793,0.16666666666663943,food,14400
3217432972921225982,3199454641026992219,0.16666666666663232,food,14400
3217432972921225982,4237919380788690466,0.146160032928921,food,14400
3217432972921225982,8293118091763985254,0.13182631341369166,food,14400
3217432972921225982,5365341903814566991,0.1330745366867676,water,14400
3217432972921225982,4211364624498445119,0.1274061521715666,water,14400
3217432972921225982,3199454641026992219,0.125,water,14400
3217432972921225982,1052971792647907569,0.125,water,14400
3217432972921225982,3064304136410128793,0.125,water,14400
3217432972921225982,4237919380788690466,0.10962002469673404,water,14400
3217432972921225982,8293118091763985254,0.09886973506045571,water,14400
3217432972921225982,5365341903814566991,0.08871635779108988,energy,14400
3217432972921225982,4211364624498445119,0.08493743478096771,energy,14400
