from,to,amount,resource
3705731575404311046,4491271185847462853,0.19294977837142469,food,7200
3705731575404311046,5103029649503933864,0.1906492134763038,food,7200
3705731575404311046,3254646625937860148,0.18873655971382952,food,7200
3705731575404311046,4629891696337536450,0.18873655971382064,food,7200
3705731575404311046,7801126135800375342,0.17459351911855947,food,7200
3705731575404311046,1762768967601240021,0.15543447170667868,food,7200
3705731575404311046,7677550275821628865,0.14074390826752747,food,7200
3705731575404311046,1459875559828676343,0.08988283423821919,food,7200
3705731575404311046,4491271185847462853,0.14471233377856052,water,7200
3705731575404311046,5103029649503933864,0.14298691010721498,water,7200
3705731575404311046,4629891696337536450,0.1415524197853788,water,7200
3705731575404311046,3254646625937860148,0.1415524197853717,water,7200
3705731575404311046,7801126135800375342,0.13094513933890894,water,7200
3705731575404311046,1762768967601240021,0.11657585378065072,water,7200
3705731575404311046,7677550275821628865,0.10555793120137658,water,7200
3705731575404311046,1459875559828676343,0.06741212567987453,water,7200
3705731575404311046,4491271185847462853,0.09647488918570346,energy,7200
3705731575404311046,5103029649503933864,0.09532460673814835,energy,7200
3705731575404311046,4629891696337536450,0.09436827985692009,energy,7200
3705731575404311046,3254646625937860148,0.09436827985690766,energy,7200
3705731575404311046,7801126135800375342,0.08729675955928062,energy,7200
3705731575404311046,1762768967601240021,0.0777172358539664,energy,7200
3705731575404311046,7677550275821628865,0.07037195413450403,energy,7200
3705731575404311046,1459875559828676343,0.04494141712033395,energy,7200
6834932921494670486,3293643288507181592,0.1863697458765987,food,7200
6834932921494670486,3935064501299078447,0.1842006930159812,food,7200
6834932921494670486,8515928292302384067,0.17827168461401044,food,7200
6834932921494670486,4766037418238530506,0.13761487004774953,food,7200
6834932921494670486,191015693372073934,0.10928981496146051,food,7200
6834932921494670486,8436407356289643243,0.09310181445032484,food,7200
6834932921494670486,7214531783510428715,0.08192757834111486,food,7200
6834932921494670486,3557525674515554671,0.05210242990220282,food,7200
6834932921494670486,3293643288507181592,0.1397773094077852,water,7200
6834932921494670486,3935064501299078447,0.1381505197619468,water,7200
6834932921494670486,8515928292302384067,0.13370376346054513,water,7200
6834932921494670486,4766037418238530506,0.10321115256894942,water,7200
6834932921494670486,191015693372073934,0.08196736125638182,water,7200
6834932921494670486,8436407356289643243,0.06982636087621596,water,7200
6834932921494670486,7214531783510428715,0.06144568379604465,water,7200
6834932921494670486,3557525674515554671,0.03907682247048494,water,7200
6834932921494670486,3293643288507181592,0.0931848729385285,energy,7200
6834932921494670486,3935064501299078447,0.0921003465079906,energy,7200
6834932921494670486,8515928292302384067,0.08913584230700522,energy,7200
6834932921494670486,4766037418238530506,0.06880743505098952,energy,7200
6834932921494670486,191015693372073934,0.05464490751027107,energy,7200
6834932921494670486,8436407356289643243,0.046550907256889484,energy,7200
6834932921494670486,7214531783510428715,0.040963789203873,energy,7200
6834932921494670486,3557525674515554671,0.02605121498711127,energy,7200
7608742253508980756,3169005401811401058,0.16666666666668561,food,7200
7608742253508980756,3169005401811401058,0.12500000000003553,water,7200
7608742253508980756,3169005401811401058,0.08333333333331083,energy,7200
0,8147037432720014766,0.28828598271258166,food,14400
0,622806194606824097,0.254910902147758,food,14400
0,8147037432720014766,0.2162157444240531,water,14400
0,622806194606824097,0.1911844354465453,water,14400
0,8147037432720014766,0.14414367130959338,energy,14400
0,622806194606824097,0.12745613160748714,energy,14400
3705731575404311046,4629891696337536450,0.16666666666667496,food,14400
3705731575404311046,7801126135800375342,0.16666666666666607,food,14400
3705731575404311046,5103029649503933864,0.1666666666666643,food,14400
3705731575404311046,3254646625937860148,0.1666666666666483,food,14400
3705731575404311046,4491271185847462853,0.16666666666663588,food,14400
3705731575404311046,1762768967601240021,0.15543447170744074,food,14400
3705731575404311046,7677550275821628865,0.14074390826831706,food,14400
3705731575404311046,1459875559828676343,0.089882834239142,food,14400
3705731575404311046,4629891696337536450,0.125000000000008,water,14400
3705731575404311046,7801126135800375342,0.1250000000000071,water,14400
3705731575404311046,5103029649503933864,0.1250000000000071,water,14400
3705731575404311046,3254646625937860148,0.125,water,14400
