from,to,amount,resource
1562651585652625452,7252536915590079790,0.16666666666675667,food,7200
1562651585652625452,9007070385807448318,0.16666666666671404,food,7200
1562651585652625452,6598588918846855570,0.16666666666668561,food,7200
1562651585652625452,2138824418407072488,0.16666666666667496,food,7200
1562651585652625452,4525772218619371731,0.16666666666666785,food,7200
1562651585652625452,2404526056142575502,0.16666666666666607,food,7200
1562651585652625452,5008325752543256009,0.16666666666666607,food,7200
1562651585652625452,8888674576198712240,0.1345599035661893,food,7200
1562651585652625452,4026787777676531958,0.03443615863619409,food,7200
1562651585652625452,5008325752543256009,0.1250000000001723,water,7200
1562651585652625452,2404526056142575502,0.12500000000015632,water,7200
1562651585652625452,4525772218619371731,0.12500000000005684,water,7200
1562651585652625452,9007070385807448318,0.1250000000000533,water,7200
1562651585652625452,7252536915590079790,0.12500000000004974,water,7200
1562651585652625452,2138824418407072488,0.12500000000003908,water,7200
1562651585652625452,6598588918846855570,0.125,water,7200
1562651585652625452,8888674576198712240,0.10091992768988955,water,7200
1562651585652625452,4026787777676531958,0.025827118995240816,water,7200
1562651585652625452,2404526056142575502,0.08333333333370074,energy,7200
1562651585652625452,5008325752543256009,0.08333333333370074,energy,7200
1562651585652625452,4525772218619371731,0.08333333333349202,energy,7200
1562651585652625452,2138824418407072488,0.08333333333325577,energy,7200
1562651585652625452,6598588918846855570,0.08333333333319715,energy,7200
1562651585652625452,9007070385807448318,0.08333333333317228,energy,7200
1562651585652625452,7252536915590079790,0.08333333333298043,energy,7200
1562651585652625452,8888674576198712240,0.06727995180825053,energy,7200
1562651585652625452,4026787777676531958,0.01721807934984554,energy,7200
6088805036556068187,9028130637881674010,0.1666666666667247,food,7200
6088805036556068187,3395987418134340736,0.16666666666668029,food,7200
6088805036556068187,2215275832909314438,0.16666666666667318,food,7200
6088805036556068187,4382916330701482074,0.16666666666661278,food,7200
6088805036556068187,1504134300160707599,0.15386575529329072,food,7200
6088805036556068187,5508870586049925066,0.13255524239186833,food,7200
