from,to,amount,resource
2498337387744327339,5174583392365904248,0.1666666666667247,food,7200
2498337387744327339,3729089457671276840,0.16666666666636942,food,7200
2498337387744327339,2641222473971967752,0.08972117571739702,food,7200
2498337387744327339,7944570268440648921,0.08968499925588702,food,7200
2498337387744327339,3729089457671276840,0.1250000000001279,water,7200
2498337387744327339,5174583392365904248,0.12500000000000355,water,7200
2498337387744327339,2641222473971967752,0.0672908817877409,water,7200
2498337387744327339,7944570268440648921,0.06726374944160396,water,7200
2498337387744327339,5174583392365904248,0.08333333333334814,energy,7200
2498337387744327339,3729089457671276840,0.08333333333333393,energy,7200
2498337387744327339,2641222473971967752,0.044860587859646195,energy,7200
2498337387744327339,7944570268440648921,0.04484249962890052,energy,7200
4397020201947367657,214774532623257918,0.1666666666666785,food,7200
4397020201947367657,5291346448564649750,0.16666666666655772,food,7200
4397020201947367657,2522737423612853395,0.1653222787576869,food,7200
4397020201947367657,5262231376313193733,0.06508920411621233,food,7200
4397020201947367657,5291346448564649750,0.12500000000002842,water,7200
4397020201947367657,214774532623257918,0.12499999999975842,water,7200
4397020201947367657,2522737423612853395,0.12399170907988655,water,7200
4397020201947367657,5262231376313193733,0.04881690310182574,water,7200
4397020201947367657,5291346448564649750,0.08333333333333748,energy,7200
4397020201947367657,214774532623257918,0.08333333333333215,energy,7200
4397020201947367657,2522737423612853395,0.08266113938657416,energy,7200
4397020201947367657,5262231376313193733,0.03254460206808241,energy,7200
2498337387744327339,3729089457671276840,0.16666666666675312,food,14400
2498337387744327339,5174583392365904248,0.16666666666666785,food,14400
2498337387744327339,2641222473971967752,0.08972117571593419,food,14400
2498337387744327339,7944570268440648921,0.08968499925439044,food,14400
2498337387744327339,3729089457671276840,0.125,water,14400
2498337387744327339,5174583392365904248,0.12499999999999112,water,14400
2498337387744327339,2641222473971967752,0.067290881788578,water,14400
2498337387744327339,7944570268440648921,0.06726374944240776,water,14400
2498337387744327339,3729089457671276840,0.08333333333333393,energy,14400
2498337387744327339,5174583392365904248,0.08333333333332504,energy,14400
2498337387744327339,2641222473971967752,0.04486058785970792,energy,14400
2498337387744327339,7944570268440648921,0.04484249962897513,energy,14400
4397020201947367657,5291346448564649750,0.16666666666675312,food,14400
4397020201947367657,214774532623257918,0.1666666666666643,food,14400
4397020201947367657,2522737423612853395,0.1653222787698354,food,14400
4397020201947367657,5262231376313193733,0.06508920412362729,food,14400
4397020201947367657,5291346448564649750,0.125,water,14400
4397020201947367657,214774532623257918,0.12499999999992184,water,14400
4397020201947367657,2522737423612853395,0.12399170907318524,water,14400
4397020201947367657,5262231376313193733,0.04881690309802256,water,14400
4397020201947367657,5291346448564649750,0.08333333333333393,energy,14400
4397020201947367657,214774532623257918,0.08333333333324333,energy,14400
4397020201947367657,2522737423612853395,0.08266113938426578,energy,14400
4397020201947367657,5262231376313193733,0.032544602068438566,energy,14400
2498337387744327339,3729089457671276840,0.16666666666689878,food,21600
2498337387744327339,5174583392365904248,0.16666666666666075,food,21600
2498337387744327339,2641222473971967752,0.08972117571708171,food,21600
2498337387744327339,7944570268440648921,0.0896849992556179,food,21600
2498337387744327339,5174583392365904248,0.12500000000000888,water,21600
2498337387744327339,3729089457671276840,0.12499999999988987,water,21600
2498337387744327339,2641222473971967752,0.06729088178760056,water,21600
2498337387744327339,7944570268440648921,0.06726374944139524,water,21600
2498337387744327339,5174583392365904248,0.08333333333334636,energy,21600
2498337387744327339,3729089457671276840,0.08333333333330728,energy,21600
2498337387744327339,2641222473971967752,0.04486058785953784,energy,21600
2498337387744327339,7944570268440648921,0.04484249962876996,energy,21600
4397020201947367657,5291346448564649750,0.16666666666668206,food,21600
4397020201947367657,214774532623257918,0.1666666666666643,food,21600
4397020201947367657,2522737423612853395,0.1653222787699793,food,21600
4397020201947367657,5262231376313193733,0.06508920412692332,food,21600
4397020201947367657,214774532623257918,0.1250000000002487,water,21600
4397020201947367657,5291346448564649750,0.1249999999999929,water,21600
4397020201947367657,2522737423612853395,0.1239917090744429,water,21600
4397020201947367657,5262231376313193733,0.04881690309657438,water,21600
4397020201947367657,214774532623257918,0.08333333333342097,energy,21600
4397020201947367657,5291346448564649750,0.08333333333333037,energy,21600
4397020201947367657,2522737423612853395,0.08266113938169362,energy,21600
4397020201947367657,5262231376313193733,0.032544602065172956,energy,21600
2498337387744327339,5174583392365904248,0.16666666666667496,food,28800
