from,to,amount,resource
6088805036556068187,4525772218619371731,0.1945956024923028,food,7200
6088805036556068187,3886992018762229705,0.19229503759756028,food,7200
6088805036556068187,4026787777676531958,0.19229503759751765,food,7200
6088805036556068187,5508870586049925066,0.17647970864063112,food,7200
6088805036556068187,7252536915590079790,0.15441339943744303,food,7200
6088805036556068187,4525772218619371731,0.14594670186949266,water,7200
6088805036556068187,4026787777676531958,0.1442212781980281,water,7200
6088805036556068187,3886992018762229705,0.1442212781974419,water,7200
6088805036556068187,5508870586049925066,0.1323597814806199,water,7200
6088805036556068187,7252536915590079790,0.11581004959227137,water,7200
6088805036556068187,4525772218619371731,0.0972978012463317,energy,7200
6088805036556068187,3886992018762229705,0.09614751879876238,energy,7200
6088805036556068187,4026787777676531958,0.09614751879876238,energy,7200
6088805036556068187,5508870586049925066,0.08823985432041148,energy,7200
6088805036556068187,7252536915590079790,0.07720669973248029,energy,7200
7011693441046249768,869539453722267130,0.171659701233974,food,7200
7011693441046249768,7094336946459581091,0.08693893579158019,food,7200
7011693441046249768,869539453722267130,0.12874477592581535,water,7200
7011693441046249768,7094336946459581091,0.06520420184444564,water,7200
7011693441046249768,869539453722267130,0.08582985061707049,energy,7200
7011693441046249768,7094336946459581091,0.04346946789668671,energy,7200
6088805036556068187,4525772218619371731,0.16666666666701957,food,14400
6088805036556068187,5508870586049925066,0.1666666666668597,food,14400
6088805036556068187,4026787777676531958,0.16666666666662877,food,14400
6088805036556068187,3886992018762229705,0.16666666666650798,food,14400
6088805036556068187,7252536915590079790,0.15441339944595533,food,14400
6088805036556068187,3886992018762229705,0.12500000000058265,water,14400
6088805036556068187,4026787777676531958,0.1250000000001137,water,14400
6088805036556068187,5508870586049925066,0.125,water,14400
6088805036556068187,4525772218619371731,0.125,water,14400
6088805036556068187,7252536915590079790,0.11581004959130681,water,14400
6088805036556068187,3886992018762229705,0.08333333333335347,energy,14400
6088805036556068187,4026787777676531958,0.08333333333333215,energy,14400
6088805036556068187,5508870586049925066,0.08333333333319537,energy,14400
6088805036556068187,4525772218619371731,0.08333333333307635,energy,14400
6088805036556068187,7252536915590079790,0.07720669972562177,energy,14400
7011693441046249768,869539453722267130,0.1666666666671066,food,14400
7011693441046249768,7094336946459581091,0.08693893579182088,food,14400
7011693441046249768,869539453722267130,0.125,water,14400
7011693441046249768,7094336946459581091,0.06520420184538134,water,14400
7011693441046249768,869539453722267130,0.08333333333337922,energy,14400
7011693441046249768,7094336946459581091,0.043469467896559255,energy,14400
6088805036556068187,3886992018762229705,0.16666666666682062,food,21600
6088805036556068187,4026787777676531958,0.16666666666669983,food,21600
6088805036556068187,5508870586049925066,0.16666666666578323,food,21600
6088805036556068187,4525772218619371731,0.16666666666493057,food,21600
6088805036556068187,7252536915590079790,0.15441339945049215,food,21600
6088805036556068187,5508870586049925066,0.125,water,21600
6088805036556068187,4525772218619371731,0.125,water,21600
6088805036556068187,4026787777676531958,0.12499999999998579,water,21600
6088805036556068187,3886992018762229705,0.12499999999992184,water,21600
6088805036556068187,7252536915590079790,0.11581004958650798,water,21600
6088805036556068187,4525772218619371731,0.08333333333358972,energy,21600
6088805036556068187,5508870586049925066,0.08333333333347248,energy,21600
6088805036556068187,4026787777676531958,0.08333333333331439,energy,21600
6088805036556068187,3886992018762229705,0.08333333333323978,energy,21600
6088805036556068187,7252536915590079790,0.07720669972360739,energy,21600
7011693441046249768,869539453722267130,0.16666666666628238,food,21600
7011693441046249768,7094336946459581091,0.08693893579158729,food,21600
7011693441046249768,869539453722267130,0.125,water,21600
7011693441046249768,7094336946459581091,0.06520420184482845,water,21600
7011693441046249768,869539453722267130,0.08333333333340409,energy,21600
7011693441046249768,7094336946459581091,0.04346946789628481,energy,21600
4525772218619371731,7252536915590079790,0.15441339946032961,food,28800
4525772218619371731,7252536915590079790,0.11581004958353347,water,28800
4525772218619371731,7252536915590079790,0.07720669972137006,energy,28800
4525772218619371731,7252536915590079790,0.15441339945362031,food,36000
4525772218619371731,7252536915590079790,0.11581004958569263,water,36000
4525772218619371731,7252536915590079790,0.07720669972341465,energy,36000
7011693441046249768,7094336946459581091,0.1738778715832483,food,36000
7011693441046249768,7094336946459581091,0.13040840368904139,water,36000
7011693441046249768,7094336946459581091,0.08693893579303769,energy,36000
3886992018762229705,4026787777676531958,0.35896170426417484,food,36000
3886992018762229705,4026787777676531958,0.26922127819817376,water,36000
3886992018762229705,4026787777676531958,0.17948085213210874,energy,36000
4525772218619371731,7252536915590079790,0.1544133994515544,food,43200
4525772218619371731,7252536915590079790,0.11581004958679841,water,43200
4525772218619371731,7252536915590079790,0.07720669972437566,energy,43200
7011693441046249768,7094336946459581091,0.08693893579291068,food,43200
7011693441046249768,7094336946459581091,0.06520420184494613,water,43200
7011693441046249768,7094336946459581091,0.04346946789599748,energy,43200
3886992018762229705,4026787777676531958,0.1666666666666714,food,43200
3886992018762229705,4026787777676531958,0.12499999999999645,water,43200
3886992018762229705,4026787777676531958,0.08333333333333215,energy,43200
4525772218619371731,7252536915590079790,0.1544133994507355,food,50400
4525772218619371731,7252536915590079790,0.1158100495872354,water,50400
4525772218619371731,7252536915590079790,0.0772066997247558,energy,50400
7011693441046249768,7094336946459581091,0.08693893579243772,food,50400
7011693441046249768,7094336946459581091,0.06520420184468101,water,50400
7011693441046249768,7094336946459581091,0.04346946789618111,energy,50400
3886992018762229705,4026787777676531958,0.1666666666666643,food,50400
3886992018762229705,4026787777676531958,0.12500000000000355,water,50400
3886992018762229705,4026787777676531958,0.08333333333333215,energy,50400
4525772218619371731,7252536915590079790,0.15441339945039267,food,57600
4525772218619371731,7252536915590079790,0.11581004958742014,water,57600
4525772218619371731,7252536915590079790,0.07720669972491478,energy,57600
7011693441046249768,7094336946459581091,0.08693893578587586,food,57600
7011693441046249768,7094336946459581091,0.06520420184385234,water,57600
7011693441046249768,7094336946459581091,0.04346946789744233,energy,57600
3886992018762229705,4026787777676531958,0.1666666666666643,food,57600
3886992018762229705,4026787777676531958,0.12499999999999645,water,57600
3886992018762229705,4026787777676531958,0.08333333333333215,energy,57600
4525772218619371731,7252536915590079790,0.1544133994502399,food,64800
4525772218619371731,7252536915590079790,0.11581004958750185,water,64800
4525772218619371731,7252536915590079790,0.07720669972498406,energy,64800
3886992018762229705,4026787777676531958,0.16666666666664298,food,64800
3886992018762229705,4026787777676531958,0.125,water,64800
3886992018762229705,4026787777676531958,0.08333333333333215,energy,64800
4525772218619371731,7252536915590079790,0.1544133994501724,food,72000
4525772218619371731,7252536915590079790,0.11581004958753915,water,72000
4525772218619371731,7252536915590079790,0.07720669972501781,energy,72000
7011693441046249768,7094336946459581091,0.17387787158398815,food,72000
7011693441046249768,7094336946459581091,0.13040840369082085,water,72000
7011693441046249768,7094336946459581091,0.0869389357935968,energy,72000
3886992018762229705,4026787777676531958,0.1666666666666785,food,72000
3886992018762229705,4026787777676531958,0.125,water,72000
3886992018762229705,4026787777676531958,0.08333333333333215,energy,72000
4525772218619371731,7252536915590079790,0.15441339945013777,food,79200
4525772218619371731,7252536915590079790,0.11581004958755692,water,79200
4525772218619371731,7252536915590079790,0.07720669972503424,energy,79200
7011693441046249768,7094336946459581091,0.08693893579426737,food,79200
7011693441046249768,7094336946459581091,0.06520420184514375,water,79200
7011693441046249768,7094336946459581091,0.04346946789700645,energy,79200
3886992018762229705,4026787777676531958,0.1666666666666714,food,79200
3886992018762229705,4026787777676531958,0.12499999999999645,water,79200
3886992018762229705,4026787777676531958,0.08333333333333215,energy,79200
4525772218619371731,7252536915590079790,0.15441339945012,food,86400
4525772218619371731,7252536915590079790,0.1158100495875658,water,86400
4525772218619371731,7252536915590079790,0.07720669972504224,energy,86400
7011693441046249768,7094336946459581091,0.0869389357894037,food,86400
7011693441046249768,7094336946459581091,0.06520420184530762,water,86400
7011693441046249768,7094336946459581091,0.04346946789668493,energy,86400
3886992018762229705,4026787777676531958,0.1666666666666643,food,86400
3886992018762229705,4026787777676531958,0.125,water,86400
3886992018762229705,4026787777676531958,0.08333333333333215,energy,86400
4525772218619371731,7252536915590079790,0.1544133994501129,food,93600
4525772218619371731,7252536915590079790,0.11581004958756935,water,93600
4525772218619371731,7252536915590079790,0.07720669972504579,energy,93600
7011693441046249768,7094336946459581091,0.08693893579344936,food,93600
7011693441046249768,7094336946459581091,0.06520420184503406,water,93600
7011693441046249768,7094336946459581091,0.043469467896660285,energy,93600
3886992018762229705,4026787777676531958,0.1666666666666572,food,93600
3886992018762229705,4026787777676531958,0.12500000000000355,water,93600
3886992018762229705,4026787777676531958,0.08333333333333215,energy,93600
6088805036556068187,3886992018762229705,3.6027504145102043,food,100800
6088805036556068187,4525772218619371731,3.461481155032059,food,100800
6088805036556068187,5508870586049925066,1.8602861171633087,food,100800
6088805036556068187,4026787777676531958,0.21816033931498424,food,100800
