from,to,amount,resource
1133124857017165939,7883125761109810898,0.16666666666666607,food,7200
1133124857017165939,5106342753094448635,0.16666666666666607,food,7200
1133124857017165939,7883125761109810898,0.12500000000000178,water,7200
1133124857017165939,5106342753094448635,0.125,water,7200
1133124857017165939,5106342753094448635,0.0833333333333357,energy,7200
1133124857017165939,7883125761109810898,0.08333333333333393,energy,7200
982909833378078365,1840861811309549137,0.19393522187638546,food,7200
982909833378078365,1840861811309549137,0.14545141640728332,water,7200
982909833378078365,1840861811309549137,0.0969676109382025,energy,7200
120265407740080390,1113492553069375102,0.062223031082806024,food,7200
120265407740080390,1373190502642303646,0.05675966909524277,food,7200
120265407740080390,1113492553069375102,0.04666727331210474,water,7200
120265407740080390,1373190502642303646,0.04256975182143252,water,7200
120265407740080390,1113492553069375102,0.031111515541403678,energy,7200
120265407740080390,1373190502642303646,0.028379834547621607,energy,7200
3181152120334967755,3791444543373586230,0.19518167789977348,food,7200
3181152120334967755,6934767572394655778,0.19518167789973617,food,7200
3181152120334967755,3957878283331015876,0.19518167789872365,food,7200
3181152120334967755,236090705224054609,0.19252230455240849,food,7200
2200263470190003950,5192317620726472273,0.19252230455239427,food,7200
3181152120334967755,3839896630122447125,0.18908378471002152,food,7200
2200263470190003950,3258351380429905149,0.18422196769445165,food,7200
3181152120334967755,2309943213995022642,0.17924043062258477,food,7200
2200263470190003950,493809736389317121,0.17750202765749634,food,7200
3181152120334967755,7328644520524009762,0.17390420929005934,food,7200
2200263470190003950,5660965835356300237,0.1731282846925879,food,7200
3181152120334967755,3150735762708973568,0.1653589431567255,food,7200
2200263470190003950,796218140821203545,0.15703044338167338,food,7200
3181152120334967755,8093520845225437148,0.08192290984900552,food,7200
3181152120334967755,3013122000636671248,0.07924634090463556,food,7200
2200263470190003950,6647523109596499753,0.0788757760045149,food,7200
3181152120334967755,9021882838949793885,0.07858041000889049,food,7200
2200263470190003950,7577809363486032243,0.021985234386021624,food,7200
3181152120334967755,7577809363486032243,0.013976609222162706,food,7200
3181152120334967755,3957878283331015876,0.14638625842486874,water,7200
3181152120334967755,6934767572394655778,0.14638625842455433,water,7200
3181152120334967755,3791444543373586230,0.1463862584242257,water,7200
3181152120334967755,236090705224054609,0.14439172841387204,water,7200
2200263470190003950,5192317620726472273,0.14439172841349546,water,7200
3181152120334967755,3839896630122447125,0.14181283853151605,water,7200
2200263470190003950,3258351380429905149,0.13816647576984398,water,7200
3181152120334967755,2309943213995022642,0.13443032296656376,water,7200
2200263470190003950,493809736389317121,0.133126520743982,water,7200
3181152120334967755,7328644520524009762,0.13042815696647736,water,7200
2200263470190003950,5660965835356300237,0.12984621352041614,water,7200
3181152120334967755,3150735762708973568,0.12401920746865791,water,7200
2200263470190003950,796218140821203545,0.11777283264200467,water,7200
3181152120334967755,8093520845225437148,0.0614421825359992,water,7200
3181152120334967755,3013122000636671248,0.059434755829843144,water,7200
2200263470190003950,6647523109596499753,0.059156832155411454,water,7200
3181152120334967755,9021882838949793885,0.058935307659770064,water,7200
2200263470190003950,7577809363486032243,0.016488924956447715,water,7200
3181152120334967755,7577809363486032243,0.010482457927312172,water,7200
3181152120334967755,3791444543373586230,0.09759083894983966,energy,7200
3181152120334967755,6934767572394655778,0.09759083894983966,energy,7200
3181152120334967755,3957878283331015876,0.09759083894951814,energy,7200
3181152120334967755,236090705224054609,0.09626115227620424,energy,7200
2200263470190003950,5192317620726472273,0.09626115227619714,energy,7200
3181152120334967755,3839896630122447125,0.09454189235501076,energy,7200
2200263470190003950,3258351380429905149,0.09211098384722582,energy,7200
3181152120334967755,2309943213995022642,0.08962021531129238,energy,7200
2200263470190003950,493809736389317121,0.08875101382895423,energy,7200
3181152120334967755,7328644520524009762,0.08695210464502967,energy,7200
2200263470190003950,5660965835356300237,0.08656414234653553,energy,7200
3181152120334967755,3150735762708973568,0.08267947168826506,energy,7200
2200263470190003950,796218140821203545,0.07851522180640114,energy,7200
3181152120334967755,8093520845225437148,0.0409614550878894,energy,7200
3181152120334967755,3013122000636671248,0.039623170617933745,energy,7200
2200263470190003950,6647523109596499753,0.03943788816763538,energy,7200
3181152120334967755,9021882838949793885,0.03929020517172299,energy,7200
2200263470190003950,7577809363486032243,0.010992615896258773,energy,7200
3181152120334967755,7577809363486032243,0.006988306101982977,energy,7200
1133124857017165939,7883125761109810898,0.16666666666666607,food,14400
