from,to,amount,resource
5770694359839282422,3924716715299367410,0.1666666666666785,food,7200
5770694359839282422,1999220453853128701,0.16666666666666785,food,7200
5770694359839282422,1897342169977797800,0.15133934260434323,food,7200
5770694359839282422,3860603634763341373,0.05548186428601287,food,7200
5770694359839282422,3924716715299367410,0.125,water,7200
5770694359839282422,1999220453853128701,0.125,water,7200
5770694359839282422,1897342169977797800,0.11350450695326053,water,7200
5770694359839282422,3860603634763341373,0.04161139821453341,water,7200
5770694359839282422,3924716715299367410,0.0833333333333357,energy,7200
5770694359839282422,1999220453853128701,0.08333333333333393,energy,7200
5770694359839282422,1897342169977797800,0.07566967130218405,energy,7200
5770694359839282422,3860603634763341373,0.02774093214307305,energy,7200
1933069619172063725,1211942972960712913,0.10047572376129477,food,7200
1933069619172063725,9153783572366451964,0.09160365332795628,food,7200
1933069619172063725,1211942972960712913,0.07535679282227825,water,7200
1933069619172063725,9153783572366451964,0.06870273999739718,water,7200
1933069619172063725,1211942972960712913,0.05023786188226209,energy,7200
1933069619172063725,9153783572366451964,0.04580182666570565,energy,7200
5770694359839282422,3924716715299367410,0.16666666666666607,food,14400
5770694359839282422,1999220453853128701,0.16666666666666607,food,14400
5770694359839282422,1897342169977797800,0.15133934260435833,food,14400
5770694359839282422,3860603634763341373,0.05548186428607327,food,14400
5770694359839282422,3924716715299367410,0.125,water,14400
5770694359839282422,1999220453853128701,0.125,water,14400
5770694359839282422,1897342169977797800,0.11350450695326675,water,14400
5770694359839282422,3860603634763341373,0.041611398214549844,water,14400
5770694359839282422,3924716715299367410,0.08333333333333304,energy,14400
5770694359839282422,1999220453853128701,0.08333333333333304,energy,14400
5770694359839282422,1897342169977797800,0.0756696713021685,energy,14400
5770694359839282422,3860603634763341373,0.027740932143022867,energy,14400
1933069619172063725,1211942972960712913,0.10047572376309599,food,14400
1933069619172063725,9153783572366451964,0.09160365332981346,food,14400
1933069619172063725,1211942972960712913,0.0753567928216814,water,14400
1933069619172063725,9153783572366451964,0.06870273999667909,water,14400
1933069619172063725,1211942972960712913,0.05023786188079571,energy,14400
1933069619172063725,9153783572366451964,0.045801826664188194,energy,14400
0,7008575756573425727,0.5278223029485183,food,21600
0,456038616574076856,0.5278223007725273,food,21600
0,7990133973920531864,0.5205111779581237,food,21600
0,707658228293769716,0.5094649139128933,food,21600
0,409536536507648089,0.5094649005549527,food,21600
0,1503712412558918708,0.5094648968564215,food,21600
0,3493086850808808200,0.509464896418006,food,21600
0,6327157749996352544,0.509464895116789,food,21600
0,6420001800299337092,0.5094648949727976,food,21600
0,8803886565153649053,0.5094648938709874,food,21600
0,1193512578553707270,0.5094648935175332,food,21600
0,5082671687534023437,0.5094648934809936,food,21600
0,6278103206994132190,0.5094648930111934,food,21600
0,5238562461301676085,0.5065561796709872,food,21600
0,7595917839394827787,0.506556177132941,food,21600
0,4604216664858512614,0.49888145295581765,food,21600
0,6290440891386938747,0.448395601458218,food,21600
0,4801967054999151846,0.35583905778453406,food,21600
0,7544001342979468502,0.3544654417535238,food,21600
0,3377782456642871119,0.35159644070592666,food,21600
0,4988270227430562205,0.31375893503451824,food,21600
0,8918654649659862666,0.2591203839997043,food,21600
0,7008575756573425727,0.39586678205380643,water,21600
0,456038616574076856,0.39586678205380554,water,21600
0,7990133973920531864,0.3903834365450969,water,21600
0,707658228293769716,0.38209872675952283,water,21600
0,409536536507648089,0.3820987265331368,water,21600
0,1503712412558918708,0.3820987265327709,water,21600
0,3493086850808808200,0.38209872653273536,water,21600
0,6420001800299337092,0.3820987265327105,water,21600
0,6278103206994132190,0.38209872653269983,water,21600
0,8803886565153649053,0.38209872653269983,water,21600
0,6327157749996352544,0.38209872653269983,water,21600
0,5082671687534023437,0.38209872653269983,water,21600
0,1193512578553707270,0.38209872653269983,water,21600
0,5238562461301676085,0.37991718906677363,water,21600
0,7595917839394827787,0.37991718906674876,water,21600
0,4604216664858512614,0.37416137420566553,water,21600
0,6290440891386938747,0.33629698659439367,water,21600
0,4801967054999151846,0.266879580715214,water,21600
0,7544001342979468502,0.26584936869358167,water,21600
0,3377782456642871119,0.2636976179592505,water,21600
0,4988270227430562205,0.23531948955642967,water,21600
0,8918654649659862666,0.19434057734115973,water,21600
0,7008575756573425727,0.2639111706234143,energy,21600
0,456038616574076856,0.2639111701062262,energy,21600
0,7990133973920531864,0.26025560751122434,energy,21600
0,707658228293769716,0.25473247122030074,energy,21600
0,409536536507648089,0.25473246812638806,energy,21600
0,1503712412558918708,0.2547324672441693,energy,21600
0,3493086850808808200,0.25473246713183606,energy,21600
0,6327157749996352544,0.2547324668300899,energy,21600
0,6420001800299337092,0.25473246682764916,energy,21600
0,8803886565153649053,0.25473246653333526,energy,21600
0,1193512578553707270,0.25473246644981895,energy,21600
0,5082671687534023437,0.2547324664397044,energy,21600
0,6278103206994132190,0.25473246632562585,energy,21600
0,5238562461301676085,0.2532781088120988,energy,21600
0,7595917839394827787,0.25327810819660623,energy,21600
0,4604216664858512614,0.2494408980900502,energy,21600
0,6290440891386938747,0.22419797294832655,energy,21600
0,4801967054999151846,0.17791970224416653,energy,21600
0,7544001342979468502,0.1772328942295074,energy,21600
0,3377782456642871119,0.1757983937418035,energy,21600
0,4988270227430562205,0.15687964140854405,energy,21600
0,8918654649659862666,0.12956036653486747,energy,21600
5770694359839282422,1999220453853128701,0.16666666666666607,food,21600
5770694359839282422,3924716715299367410,0.15916246866224348,food,21600
