from,to,amount,resource
8583732674121970774,7937861807045413101,0.166666666667183,food,7200
8583732674121970774,4977356543574211152,0.16666666666702667,food,7200
8583732674121970774,1984206695053779961,0.16666666666698404,food,7200
8583732674121970774,682575966946287711,0.16666666666666607,food,7200
8583732674121970774,7441247310698739687,0.16666666666666607,food,7200
8583732674121970774,8518059972389603556,0.08744065769573428,food,7200
8583732674121970774,8040070149115327324,0.08344487949969714,food,7200
8583732674121970774,682575966946287711,0.12500000000000178,water,7200
8583732674121970774,7441247310698739687,0.125,water,7200
8583732674121970774,1984206695053779961,0.12499999999995737,water,7200
8583732674121970774,4977356543574211152,0.12499999999995026,water,7200
8583732674121970774,7937861807045413101,0.12499999999993605,water,7200
8583732674121970774,8518059972389603556,0.06558049328173876,water,7200
8583732674121970774,8040070149115327324,0.06258365963517765,water,7200
8583732674121970774,7441247310698739687,0.08333333333346804,energy,7200
8583732674121970774,682575966946287711,0.08333333333339699,energy,7200
8583732674121970774,1984206695053779961,0.0833333333333357,energy,7200
8583732674121970774,7937861807045413101,0.08333333333333215,energy,7200
8583732674121970774,4977356543574211152,0.08333333333333215,energy,7200
8583732674121970774,8518059972389603556,0.04372032886211796,energy,7200
8583732674121970774,8040070149115327324,0.04172243976434542,energy,7200
4828452575851333518,2830637187822835271,0.16666666666666785,food,7200
4828452575851333518,2023868007237821202,0.1666666666666643,food,7200
4828452575851333518,5896739539481714988,0.16666666666630192,food,7200
4828452575851333518,2023868007237821202,0.1250000000000142,water,7200
4828452575851333518,5896739539481714988,0.125,water,7200
4828452575851333518,2830637187822835271,0.12499999999986144,water,7200
4828452575851333518,2830637187822835271,0.08333333333346715,energy,7200
4828452575851333518,5896739539481714988,0.0833333333333357,energy,7200
4828452575851333518,2023868007237821202,0.08333333333333215,energy,7200
9169366487452869020,9209097491213160672,0.16666666666666607,food,7200
9169366487452869020,1887236483959603989,0.15441339945010135,food,7200
9169366487452869020,2303794993764930905,0.10133609904547303,food,7200
9169366487452869020,3858916913295349392,0.08693893579246659,food,7200
9169366487452869020,9209097491213160672,0.125,water,7200
9169366487452869020,1887236483959603989,0.11581004958757646,water,7200
9169366487452869020,2303794993764930905,0.0760020742841041,water,7200
9169366487452869020,3858916913295349392,0.06520420184435238,water,7200
9169366487452869020,9209097491213160672,0.08333333333333304,energy,7200
9169366487452869020,1887236483959603989,0.07720669972505068,energy,7200
9169366487452869020,2303794993764930905,0.050668049522736514,energy,7200
9169366487452869020,3858916913295349392,0.043469467896233294,energy,7200
4570650216307803967,3139019580233930820,0.1666666666670018,food,7200
4570650216307803967,4564111495855467233,0.16666666666682417,food,7200
4570650216307803967,1646796842645545340,0.16666666666672114,food,7200
4570650216307803967,5981904917151416139,0.16666666666670693,food,7200
4570650216307803967,5981904917151416139,0.12499999999991473,water,7200
4570650216307803967,1646796842645545340,0.12499999999985434,water,7200
4570650216307803967,4564111495855467233,0.12499999999965539,water,7200
4570650216307803967,3139019580233930820,0.12499999999934186,water,7200
4570650216307803967,5981904917151416139,0.08333333333331971,energy,7200
4570650216307803967,1646796842645545340,0.08333333333328774,energy,7200
4570650216307803967,4564111495855467233,0.08333333333322912,energy,7200
4570650216307803967,3139019580233930820,0.08333333333314119,energy,7200
1971524039190726780,4563505370978656679,0.1666666666690162,food,7200
1971524039190726780,7706868730717526179,0.16666666666811025,food,7200
1971524039190726780,6943086220968602647,0.1666666666664085,food,7200
1971524039190726780,3874272461503603530,0.06677787470667917,food,7200
1971524039190726780,6943086220968602647,0.12500000000017764,water,7200
1971524039190726780,4563505370978656679,0.12499999999994316,water,7200
1971524039190726780,7706868730717526179,0.12499999999993072,water,7200
1971524039190726780,3874272461503603530,0.050083406034484135,water,7200
1971524039190726780,4563505370978656679,0.08333333333335347,energy,7200
1971524039190726780,7706868730717526179,0.08333333333334991,energy,7200
1971524039190726780,6943086220968602647,0.08333333333325399,energy,7200
1971524039190726780,3874272461503603530,0.03338893735688009,energy,7200
8583732674121970774,682575966946287711,0.16666666666666607,food,14400
8583732674121970774,7441247310698739687,0.16666666666666607,food,14400
8583732674121970774,7937861807045413101,0.1666666666666572,food,14400
8583732674121970774,1984206695053779961,0.1666666666666501,food,14400
8583732674121970774,4977356543574211152,0.16666666666662167,food,14400
8583732674121970774,8518059972389603556,0.08744065770431497,food,14400
8583732674121970774,8040070149115327324,0.08344487950847945,food,14400
8583732674121970774,7937861807045413101,0.12500000000021316,water,14400
8583732674121970774,4977356543574211152,0.12500000000014921,water,14400
8583732674121970774,1984206695053779961,0.1250000000001279,water,14400
8583732674121970774,682575966946287711,0.125,water,14400
8583732674121970774,7441247310698739687,0.125,water,14400
8583732674121970774,8518059972389603556,0.06558049327657933,water,14400
8583732674121970774,8040070149115327324,0.0625836596297189,water,14400
8583732674121970774,7937861807045413101,0.08333333333333215,energy,14400
8583732674121970774,1984206695053779961,0.08333333333333215,energy,14400
8583732674121970774,4977356543574211152,0.08333333333333215,energy,14400
8583732674121970774,682575966946287711,0.08333333333332682,energy,14400
8583732674121970774,7441247310698739687,0.08333333333329396,energy,14400
8583732674121970774,8518059972389603556,0.043720328858503965,energy,14400
8583732674121970774,8040070149115327324,0.04172243976076784,energy,14400
2881397816964998711,3567981749127582206,0.33333333333333215,food,14400
2881397816964998711,7825101020974038775,0.2649883077481672,food,14400
2881397816964998711,3567981749127582206,0.24999999999998934,water,14400
2881397816964998711,7825101020974038775,0.19874123081112138,water,14400
2881397816964998711,3567981749127582206,0.16666666666666163,energy,14400
2881397816964998711,7825101020974038775,0.13249415387407293,energy,14400
4828452575851333518,5896739539481714988,0.16666666666689878,food,14400
4828452575851333518,2830637187822835271,0.16666666666666785,food,14400
4828452575851333518,2023868007237821202,0.1666666666666643,food,14400
4828452575851333518,2830637187822835271,0.12500000000011724,water,14400
4828452575851333518,2023868007237821202,0.125,water,14400
4828452575851333518,5896739539481714988,0.12499999999997158,water,14400
4828452575851333518,5896739539481714988,0.0833333333333357,energy,14400
4828452575851333518,2023868007237821202,0.08333333333331083,energy,14400
4828452575851333518,2830637187822835271,0.08333333333309056,energy,14400
4570650216307803967,4564111495855467233,0.16666666666667496,food,14400
4570650216307803967,1646796842645545340,0.1666666666666714,food,14400
4570650216307803967,5981904917151416139,0.1666666666666714,food,14400
4570650216307803967,3139019580233930820,0.16666666666665364,food,14400
4570650216307803967,3139019580233930820,0.12500000000048317,water,14400
4570650216307803967,4564111495855467233,0.12500000000025047,water,14400
4570650216307803967,1646796842645545340,0.12500000000010303,water,14400
4570650216307803967,5981904917151416139,0.12500000000007105,water,14400
4570650216307803967,3139019580233930820,0.08333333333336235,energy,14400
4570650216307803967,4564111495855467233,0.08333333333335702,energy,14400
4570650216307803967,1646796842645545340,0.08333333333335169,energy,14400
4570650216307803967,5981904917151416139,0.08333333333333748,energy,14400
1971524039190726780,6943086220968602647,0.1666666666669201,food,14400
1971524039190726780,7706868730717526179,0.16666666666621666,food,14400
1971524039190726780,4563505370978656679,0.16666666666591823,food,14400
1971524039190726780,3874272461503603530,0.06677787470776986,food,14400
1971524039190726780,7706868730717526179,0.12500000000006928,water,14400
1971524039190726780,4563505370978656679,0.12500000000005684,water,14400
1971524039190726780,6943086220968602647,0.1249999999994813,water,14400
1971524039190726780,3874272461503603530,0.05008340603064454,water,14400
1971524039190726780,6943086220968602647,0.08333333333341031,energy,14400
1971524039190726780,7706868730717526179,0.0833333333332007,energy,14400
1971524039190726780,4563505370978656679,0.08333333333310655,energy,14400
1971524039190726780,3874272461503603530,0.03338893735434545,energy,14400
8583732674121970774,7937861807045413101,0.16666666666708352,food,21600
8583732674121970774,4977356543574211152,0.16666666666699115,food,21600
8583732674121970774,1984206695053779961,0.1666666666669272,food,21600
8583732674121970774,682575966946287711,0.16666666666632324,food,21600
