from,to,amount,resource
5095294902165680841,8958474810643196010,0.1666666666682204,food,7200
5095294902165680841,6626061406106426998,0.16666666666728247,food,7200
5095294902165680841,7421266195024213910,0.16666666666518282,food,7200
5095294902165680841,5645548477309647988,0.16666666666458596,food,7200
5095294902165680841,8494022965202504798,0.16666666666283092,food,7200
5095294902165680841,4547583850804797483,0.16666666666249164,food,7200
5095294902165680841,7145910858949932257,0.16666666666155727,food,7200
5095294902165680841,250872517727626600,0.16666666666134233,food,7200
5095294902165680841,3447622384633309630,0.03130540806712645,food,7200
5095294902165680841,4954157103079244150,0.02652719735985798,food,7200
5095294902165680841,250872517727626600,0.12500000000169464,water,7200
5095294902165680841,7145910858949932257,0.12500000000161648,water,7200
5095294902165680841,4547583850804797483,0.12500000000135003,water,7200
5095294902165680841,8494022965202504798,0.12500000000122746,water,7200
5095294902165680841,5645548477309647988,0.12500000000068567,water,7200
5095294902165680841,7421266195024213910,0.12500000000051514,water,7200
5095294902165680841,6626061406106426998,0.12499999999818812,water,7200
5095294902165680841,8958474810643196010,0.1249999999954099,water,7200
5095294902165680841,3447622384633309630,0.02347918714263386,water,7200
5095294902165680841,4954157103079244150,0.019895398110054252,water,7200
5095294902165680841,250872517727626600,0.0833333333336217,energy,7200
5095294902165680841,7145910858949932257,0.0833333333335835,energy,7200
5095294902165680841,4547583850804797483,0.08333333333355153,energy,7200
5095294902165680841,8494022965202504798,0.08333333333351867,energy,7200
5095294902165680841,5645548477309647988,0.08333333333344228,energy,7200
5095294902165680841,7421266195024213910,0.08333333333341209,energy,7200
5095294902165680841,6626061406106426998,0.08333333333289872,energy,7200
5095294902165680841,8958474810643196010,0.08333333333220594,energy,7200
5095294902165680841,3447622384633309630,0.01565304048624938,energy,7200
5095294902165680841,4954157103079244150,0.013263598777417562,energy,7200
84091323592291878,7093844595907745953,0.16666666666673535,food,7200
84091323592291878,3258784310613833800,0.16666666666652574,food,7200
84091323592291878,5619496433461648760,0.166666666666476,food,7200
84091323592291878,6362987221239160752,0.16666666666634455,food,7200
84091323592291878,5191568376691144477,0.16666666666631968,food,7200
84091323592291878,8651290045691179769,0.10608163134098358,food,7200
84091323592291878,4777858431659308302,0.06258458817226176,food,7200
84091323592291878,9015364813785286461,0.06050446558507172,food,7200
84091323592291878,7093844595907745953,0.12500000000003197,water,7200
84091323592291878,3258784310613833800,0.12499999999997158,water,7200
84091323592291878,5619496433461648760,0.12499999999996625,water,7200
84091323592291878,6362987221239160752,0.12499999999995026,water,7200
84091323592291878,5191568376691144477,0.1249999999999325,water,7200
84091323592291878,8651290045691179769,0.079561223508124,water,7200
84091323592291878,4777858431659308302,0.04693844113223511,water,7200
84091323592291878,9015364813785286461,0.04537834919194861,water,7200
84091323592291878,5191568376691144477,0.08333333333333748,energy,7200
84091323592291878,5619496433461648760,0.0833333333333357,energy,7200
84091323592291878,6362987221239160752,0.08333333333333393,energy,7200
84091323592291878,3258784310613833800,0.08333333333333393,energy,7200
84091323592291878,7093844595907745953,0.08333333333333304,energy,7200
84091323592291878,8651290045691179769,0.05304081567271801,energy,7200
84091323592291878,4777858431659308302,0.03129229408898637,energy,7200
84091323592291878,9015364813785286461,0.030252232795438205,energy,7200
3447622384633309630,250872517727626600,0.16666666667198982,food,14400
5095294902165680841,7145910858949932257,0.16666666667177488,food,14400
3447622384633309630,4547583850804797483,0.1666666666708405,food,14400
5095294902165680841,8494022965202504798,0.16666666667050478,food,14400
3447622384633309630,5645548477309647988,0.16666666666874974,food,14400
5095294902165680841,7421266195024213910,0.16666666666815289,food,14400
3447622384633309630,6626061406106426998,0.1666666666664014,food,14400
5095294902165680841,8958474810643196010,0.1666666666660035,food,14400
3447622384633309630,4954157103079244150,0.013263623710786376,food,14400
5095294902165680841,4954157103079244150,0.013263573660430739,food,14400
3447622384633309630,8958474810643196010,0.1250000000045901,water,14400
5095294902165680841,6626061406106426998,0.12500000000181188,water,14400
3447622384633309630,7421266195024213910,0.12499999999989342,water,14400
5095294902165680841,5645548477309647988,0.12499999999985434,water,14400
3447622384633309630,8494022965202504798,0.12499999999973355,water,14400
5095294902165680841,4547583850804797483,0.12499999999970868,water,14400
3447622384633309630,250872517727626600,0.12499999999965894,water,14400
5095294902165680841,7145910858949932257,0.12499999999962341,water,14400
3447622384633309630,4954157103079244150,0.009947731695749695,water,14400
5095294902165680841,4954157103079244150,0.009947666415528689,water,14400
3447622384633309630,8958474810643196010,0.08333333333446546,energy,14400
5095294902165680841,6626061406106426998,0.08333333333376913,energy,14400
3447622384633309630,7421266195024213910,0.08333333333328774,energy,14400
5095294902165680841,5645548477309647988,0.08333333333327175,energy,14400
3447622384633309630,8494022965202504798,0.08333333333321136,energy,14400
5095294902165680841,4547583850804797483,0.08333333333320869,energy,14400
3447622384633309630,250872517727626600,0.08333333333318294,energy,14400
5095294902165680841,7145910858949932257,0.08333333333316784,energy,14400
3447622384633309630,4954157103079244150,0.006631848026627196,energy,14400
5095294902165680841,4954157103079244150,0.00663175074921829,energy,14400
84091323592291878,5191568376691144477,0.1666666666669876,food,14400
84091323592291878,6362987221239160752,0.16666666666695207,food,14400
84091323592291878,5619496433461648760,0.16666666666683838,food,14400
84091323592291878,3258784310613833800,0.1666666666667993,food,14400
84091323592291878,7093844595907745953,0.16666666666666607,food,14400
84091323592291878,8651290045691179769,0.10608163134186466,food,14400
84091323592291878,4777858431659308302,0.06258458817274626,food,14400
84091323592291878,9015364813785286461,0.06050446558524669,food,14400
84091323592291878,7093844595907745953,0.125,water,14400
84091323592291878,3258784310613833800,0.12499999999999822,water,14400
84091323592291878,5191568376691144477,0.12499999999999645,water,14400
84091323592291878,5619496433461648760,0.12499999999999645,water,14400
84091323592291878,6362987221239160752,0.12499999999998934,water,14400
84091323592291878,8651290045691179769,0.07956122350714523,water,14400
84091323592291878,4777858431659308302,0.046938441131295416,water,14400
84091323592291878,9015364813785286461,0.04537834919117856,water,14400
84091323592291878,3258784310613833800,0.08333333333333393,energy,14400
84091323592291878,7093844595907745953,0.08333333333333304,energy,14400
