from,to,amount,resource
2774544477152754282,7825101020974038775,0.07351607820184736,food,7200
2774544477152754282,7825101020974038775,0.05513705865139684,water,7200
2774544477152754282,7825101020974038775,0.03675803910093434,energy,7200
1522650749917583358,6741109044234432070,0.06979939814453218,food,7200
1522650749917583358,6741109044234432070,0.05234954860844754,water,7200
1522650749917583358,6741109044234432070,0.03489969907230628,energy,7200
8319527847318561915,4570650216307803967,0.16666666666666607,food,7200
8319527847318561915,4570650216307803967,0.125,water,7200
8319527847318561915,4570650216307803967,0.08333333333333304,energy,7200
1616870942054897183,5981904917151416139,0.18200621053977173,food,7200
1616870942054897183,6943086220968602647,0.13220156912367553,food,7200
1616870942054897183,629917933550980167,0.12532702506840288,food,7200
1616870942054897183,8739484808616608895,0.120008440367255,food,7200
1951745806883064675,7441247310698739687,0.09386144476149028,food,7200
1616870942054897183,1984206695053779961,0.06990577651063834,food,7200
1951745806883064675,8040070149115327324,0.03970366216195487,food,7200
1616870942054897183,8040070149115327324,0.023917620462962752,food,7200
1616870942054897183,5981904917151416139,0.13650465790483857,water,7200
1616870942054897183,6943086220968602647,0.09915117684278041,water,7200
1616870942054897183,1951745806883064675,0.09468863093232827,water,7200
1616870942054897183,629917933550980167,0.09399526880133457,water,7200
1616870942054897183,8739484808616608895,0.09000633027548233,water,7200
1616870942054897183,7441247310698739687,0.07039608357117322,water,7200
1616870942054897183,1984206695053779961,0.052429332383040705,water,7200
1616870942054897183,8040070149115327324,0.04771596196876127,water,7200
1616870942054897183,5981904917151416139,0.09100310526989208,energy,7200
1616870942054897183,6943086220968602647,0.06610078456185153,energy,7200
1616870942054897183,1951745806883064675,0.06312449361113437,energy,7200
1616870942054897183,629917933550980167,0.06266351253422231,energy,7200
1616870942054897183,8739484808616608895,0.060004220183653256,energy,7200
1616870942054897183,7441247310698739687,0.046930722380782,energy,7200
1616870942054897183,1984206695053779961,0.03495288825536025,energy,7200
1616870942054897183,8040070149115327324,0.03181064131250677,energy,7200
9209097491213160672,2303794993764930905,0.13514361933931074,food,7200
9209097491213160672,2303794993764930905,0.10135771450677566,water,7200
9209097491213160672,2303794993764930905,0.06757180967071985,energy,7200
2774544477152754282,7825101020974038775,0.07351607820183448,food,14400
2774544477152754282,7825101020974038775,0.05513705865138796,water,14400
2774544477152754282,7825101020974038775,0.03675803910093145,energy,14400
1522650749917583358,6741109044234432070,0.06979939814458236,food,14400
1522650749917583358,6741109044234432070,0.05234954860844798,water,14400
1522650749917583358,6741109044234432070,0.03489969907230783,energy,14400
8319527847318561915,4570650216307803967,0.16666666666666607,food,14400
8319527847318561915,4570650216307803967,0.125,water,14400
8319527847318561915,4570650216307803967,0.08333333333333304,energy,14400
1951745806883064675,5981904917151416139,0.1666666666666785,food,14400
1616870942054897183,6943086220968602647,0.13220156912360093,food,14400
1616870942054897183,629917933550980167,0.12532702506830606,food,14400
1951745806883064675,8739484808616608895,0.12000844036712532,food,14400
1616870942054897183,7441247310698739687,0.09386144476129488,food,14400
1951745806883064675,1984206695053779961,0.06990577651036611,food,14400
1616870942054897183,8040070149115327324,0.03440567965105146,food,14400
1951745806883064675,8040070149115327324,0.029215602973628574,food,14400
1951745806883064675,5981904917151416139,0.1249999999999929,water,14400
1951745806883064675,6943086220968602647,0.09915117684278574,water,14400
1951745806883064675,629917933550980167,0.09399526880133813,water,14400
1951745806883064675,8739484808616608895,0.09000633027550009,water,14400
1616870942054897183,7441247310698739687,0.07039608357120031,water,14400
1951745806883064675,1984206695053779961,0.05242933238307401,water,14400
1616870942054897183,8040070149115327324,0.024090575606695808,water,14400
1951745806883064675,8040070149115327324,0.023625386362094325,water,14400
1951745806883064675,5981904917151416139,0.08333333333333304,energy,14400
1616870942054897183,6943086220968602647,0.06610078456192436,energy,14400
1616870942054897183,629917933550980167,0.06266351253431424,energy,14400
1951745806883064675,8739484808616608895,0.06000422018375895,energy,14400
1616870942054897183,7441247310698739687,0.046930722380943646,energy,14400
1951745806883064675,1984206695053779961,0.03495288825559939,energy,14400
1951745806883064675,8040070149115327324,0.01615129142086902,energy,14400
1616870942054897183,8040070149115327324,0.015659349891838037,energy,14400
9209097491213160672,2303794993764930905,0.1351436193403286,food,14400
9209097491213160672,2303794993764930905,0.10135771450523556,water,14400
9209097491213160672,2303794993764930905,0.06757180967005949,energy,14400
2774544477152754282,7825101020974038775,0.07351607820184958,food,21600
2774544477152754282,7825101020974038775,0.05513705865138174,water,21600
2774544477152754282,7825101020974038775,0.03675803910092279,energy,21600
1522650749917583358,6741109044234432070,0.06979939814465341,food,21600
1522650749917583358,6741109044234432070,0.05234954860838226,water,21600
1522650749917583358,6741109044234432070,0.034899699072306944,energy,21600
1951745806883064675,5981904917151416139,0.16666666666666607,food,21600
1616870942054897183,6943086220968602647,0.13220156912363734,food,21600
1616870942054897183,629917933550980167,0.1253270250683558,food,21600
1951745806883064675,8739484808616608895,0.12000844036720881,food,21600
1616870942054897183,7441247310698739687,0.09386144476135261,food,21600
1951745806883064675,1984206695053779961,0.06990577651040342,food,21600
1616870942054897183,8040070149115327324,0.034405705560237365,food,21600
1951745806883064675,8040070149115327324,0.029215577064406695,food,21600
1951745806883064675,5981904917151416139,0.12499999999999645,water,21600
1616870942054897183,6943086220968602647,0.09915117684278218,water,21600
1616870942054897183,629917933550980167,0.09399526880134701,water,21600
1951745806883064675,8739484808616608895,0.09000633027547522,water,21600
1616870942054897183,7441247310698739687,0.07039608357118876,water,21600
1951745806883064675,1984206695053779961,0.05242933238305092,water,21600
1616870942054897183,8040070149115327324,0.025804070331782114,water,21600
1951745806883064675,8040070149115327324,0.021911891637063086,water,21600
1616870942054897183,5981904917151416139,0.08333333333333304,energy,21600
1951745806883064675,6943086220968602647,0.06610078456188484,energy,21600
1951745806883064675,629917933550980167,0.06266351253425206,energy,21600
1616870942054897183,8739484808616608895,0.060004220183699886,energy,21600
1951745806883064675,7441247310698739687,0.046930722380887246,energy,21600
1616870942054897183,1984206695053779961,0.03495288825558207,energy,21600
1616870942054897183,8040070149115327324,0.016150142778754262,energy,21600
1951745806883064675,8040070149115327324,0.015660498533929035,energy,21600
9209097491213160672,2303794993764930905,0.13514361934176833,food,21600
9209097491213160672,2303794993764930905,0.10135771450319897,water,21600
9209097491213160672,2303794993764930905,0.06757180967048626,energy,21600
2774544477152754282,7825101020974038775,0.07351607820184958,food,28800
2774544477152754282,7825101020974038775,0.05513705865139329,water,28800
2774544477152754282,7825101020974038775,0.03675803910092279,energy,28800
1522650749917583358,6741109044234432070,0.06979939814459923,food,28800
1522650749917583358,6741109044234432070,0.05234954860841956,water,28800
1522650749917583358,6741109044234432070,0.03489969907229429,energy,28800
9209097491213160672,2303794993764930905,0.13514361934065988,food,28800
9209097491213160672,2303794993764930905,0.1013577145063298,water,28800
9209097491213160672,2303794993764930905,0.06757180967080556,energy,28800
7441247310698739687,8040070149115327324,0.1272425652500715,food,36000
7441247310698739687,8040070149115327324,0.0954319239374235,water,36000
7441247310698739687,8040070149115327324,0.06362128262489497,energy,36000
2774544477152754282,7825101020974038775,0.07351607820184691,food,36000
2774544477152754282,7825101020974038775,0.055137058651375526,water,36000
2774544477152754282,7825101020974038775,0.03675803910092501,energy,36000
1522650749917583358,6741109044234432070,0.06979939814457081,food,36000
1522650749917583358,6741109044234432070,0.05234954860843555,water,36000
1522650749917583358,6741109044234432070,0.034899699072293844,energy,36000
9209097491213160672,2303794993764930905,0.1351436193390354,food,36000
9209097491213160672,2303794993764930905,0.10135771450537412,water,36000
9209097491213160672,2303794993764930905,0.0675718096702318,energy,36000
7441247310698739687,8040070149115327324,0.06362128262501754,food,43200
7441247310698739687,8040070149115327324,0.04771596196871375,water,43200
7441247310698739687,8040070149115327324,0.03181064131245459,energy,43200
2774544477152754282,7825101020974038775,0.07351607820184958,food,43200
2774544477152754282,7825101020974038775,0.05513705865138707,water,43200
2774544477152754282,7825101020974038775,0.03675803910093012,energy,43200
1522650749917583358,6741109044234432070,0.06979939814457481,food,43200
1522650749917583358,6741109044234432070,0.052349548608446206,water,43200
1522650749917583358,6741109044234432070,0.034899699072288515,energy,43200
8319527847318561915,4570650216307803967,0.3821843604736994,food,43200
8319527847318561915,4570650216307803967,0.28663885051540916,water,43200
8319527847318561915,4570650216307803967,0.19109215167054217,energy,43200
9209097491213160672,2303794993764930905,0.13514361934079133,food,43200
9209097491213160672,2303794993764930905,0.1013577145061264,water,43200
9209097491213160672,2303794993764930905,0.06757180967037035,energy,43200
7441247310698739687,8040070149115327324,0.06362128262500866,food,50400
7441247310698739687,8040070149115327324,0.04771596196871597,water,50400
7441247310698739687,8040070149115327324,0.031810641312460586,energy,50400
2774544477152754282,7825101020974038775,0.07351607820184647,food,50400
2774544477152754282,7825101020974038775,0.0551370586513924,water,50400
2774544477152754282,7825101020974038775,0.03675803910092856,energy,50400
1522650749917583358,6741109044234432070,0.0697993981445606,food,50400
1522650749917583358,6741109044234432070,0.05234954860844976,water,50400
1522650749917583358,6741109044234432070,0.034899699072302726,energy,50400
8319527847318561915,4570650216307803967,1.2278654715203174e-06,food,50400
4570650216307803967,8319527847318561915,1.3369012208386266e-06,water,50400
8319527847318561915,4570650216307803967,3.434171693683652e-07,energy,50400
9209097491213160672,2303794993764930905,0.13514361934096808,food,50400
9209097491213160672,2303794993764930905,0.10135771450518671,water,50400
9209097491213160672,2303794993764930905,0.06757180967044407,energy,50400
7441247310698739687,8040070149115327324,0.06362128262500155,food,57600
7441247310698739687,8040070149115327324,0.04771596196871819,water,57600
7441247310698739687,8040070149115327324,0.03181064131246503,energy,57600
2774544477152754282,7825101020974038775,0.07351607820184736,food,57600
2774544477152754282,7825101020974038775,0.055137058651389736,water,57600
2774544477152754282,7825101020974038775,0.036758039100922124,energy,57600
1522650749917583358,6741109044234432070,0.06979939814453351,food,57600
1522650749917583358,6741109044234432070,0.052349548608425334,water,57600
1522650749917583358,6741109044234432070,0.03489969907228718,energy,57600
4570650216307803967,8319527847318561915,1.1207219046127648e-06,food,57600
8319527847318561915,4570650216307803967,3.961207974967351e-07,water,57600
4570650216307803967,8319527847318561915,8.372549054058709e-08,energy,57600
9209097491213160672,2303794993764930905,0.1351436193396669,food,57600
9209097491213160672,2303794993764930905,0.10135771450618325,water,57600
9209097491213160672,2303794993764930905,0.06757180967013765,energy,57600
7441247310698739687,8040070149115327324,0.06362128262499711,food,64800
7441247310698739687,8040070149115327324,0.04771596196871997,water,64800
7441247310698739687,8040070149115327324,0.03181064131246836,energy,64800
2774544477152754282,7825101020974038775,0.07351607820184691,food,64800
2774544477152754282,7825101020974038775,0.05513705865138707,water,64800
2774544477152754282,7825101020974038775,0.03675803910092079,energy,64800
1522650749917583358,6741109044234432070,0.06979939814462144,food,64800
1522650749917583358,6741109044234432070,0.05234954860846708,water,64800
1522650749917583358,6741109044234432070,0.034899699072303614,energy,64800
9209097491213160672,2303794993764930905,0.13514361934137575,food,64800
9209097491213160672,2303794993764930905,0.10135771450487141,water,64800
9209097491213160672,2303794993764930905,0.06757180967028686,energy,64800
7441247310698739687,8040070149115327324,0.06362128262499356,food,72000
7441247310698739687,8040070149115327324,0.0477159619687213,water,72000
7441247310698739687,8040070149115327324,0.0318106413124708,energy,72000
2774544477152754282,7825101020974038775,0.07351607820185135,food,72000
2774544477152754282,7825101020974038775,0.05513705865138441,water,72000
2774544477152754282,7825101020974038775,0.03675803910092257,energy,72000
1522650749917583358,6741109044234432070,0.06979939814457348,food,72000
1522650749917583358,6741109044234432070,0.05234954860843599,water,72000
1522650749917583358,6741109044234432070,0.03489969907229473,energy,72000
8319527847318561915,4570650216307803967,1.477796374160789e-07,food,72000
8319527847318561915,4570650216307803967,2.327058963302875e-06,water,72000
4570650216307803967,8319527847318561915,2.9060300654748517e-07,energy,72000
9209097491213160672,2303794993764930905,0.13514361934097785,food,72000
9209097491213160672,2303794993764930905,0.1013577145052249,water,72000
9209097491213160672,2303794993764930905,0.06757180967035525,energy,72000
7441247310698739687,8040070149115327324,0.06362128262499045,food,79200
7441247310698739687,8040070149115327324,0.04771596196872219,water,79200
7441247310698739687,8040070149115327324,0.0318106413124728,energy,79200
2774544477152754282,7825101020974038775,0.0735160782018478,food,79200
2774544477152754282,7825101020974038775,0.055137058651390625,water,79200
2774544477152754282,7825101020974038775,0.036758039100926565,energy,79200
1522650749917583358,6741109044234432070,0.06979939814459835,food,79200
1522650749917583358,6741109044234432070,0.05234954860843244,water,79200
1522650749917583358,6741109044234432070,0.03489969907229118,energy,79200
9209097491213160672,2303794993764930905,0.1351436193388924,food,79200
9209097491213160672,2303794993764930905,0.10135771450645503,water,79200
9209097491213160672,2303794993764930905,0.06757180967078735,energy,79200
2774544477152754282,7825101020974038775,0.07351607820184558,food,86400
2774544477152754282,7825101020974038775,0.055137058651380855,water,86400
2774544477152754282,7825101020974038775,0.03675803910092812,energy,86400
1522650749917583358,6741109044234432070,0.06979939814456593,food,86400
1522650749917583358,6741109044234432070,0.052349548608447094,water,86400
1522650749917583358,6741109044234432070,0.03489969907229895,energy,86400
4570650216307803967,8319527847318561915,3.8434655280639163e-07,food,86400
4570650216307803967,8319527847318561915,2.62945206586096e-06,water,86400
8319527847318561915,4570650216307803967,1.1773419661409434e-07,energy,86400
9209097491213160672,2303794993764930905,0.13514361934067232,food,86400
9209097491213160672,2303794993764930905,0.10135771450550024,water,86400
9209097491213160672,2303794993764930905,0.0675718096702429,energy,86400
2774544477152754282,7825101020974038775,0.07351607820183936,food,93600
2774544477152754282,7825101020974038775,0.055137058651390625,water,93600
2774544477152754282,7825101020974038775,0.03675803910092501,energy,93600
1522650749917583358,6741109044234432070,0.06979939814455705,food,93600
1522650749917583358,6741109044234432070,0.05234954860845109,water,93600
1522650749917583358,6741109044234432070,0.0348996990722974,energy,93600
9209097491213160672,2303794993764930905,0.1351436193390514,food,93600
9209097491213160672,2303794993764930905,0.10135771450535813,water,93600
9209097491213160672,2303794993764930905,0.06757180967044407,energy,93600
2774544477152754282,7825101020974038775,0.07351607820184958,food,100800
2774544477152754282,7825101020974038775,0.055137058651388404,water,100800
2774544477152754282,7825101020974038775,0.03675803910092501,energy,100800
1522650749917583358,6741109044234432070,0.06979939814455838,food,100800
1522650749917583358,6741109044234432070,0.052349548608439544,water,100800
1522650749917583358,6741109044234432070,0.0348996990722803,energy,100800
1616870942054897183,7441247310698739687,1.5414461533770187,food,100800
1951745806883064675,6943086220968602647,1.4542172603607257,food,100800
1616870942054897183,629917933550980167,1.3785972757528286,food,100800
1951745806883064675,8739484808616608895,1.32009284404029,food,100800
1616870942054897183,5981904917151416139,1.1112437830376276,food,100800
1951745806883064675,1984206695053779961,0.7689635416177474,food,100800
1951745806883064675,8040070149115327324,0.14737662645183391,food,100800
1616870942054897183,8040070149115327324,0.04348722142311745,food,100800
1616870942054897183,7441247310698739687,1.1560846150323172,water,100800
1951745806883064675,6943086220968602647,1.090662945270433,water,100800
1616870942054897183,629917933550980167,1.0339479568144712,water,100800
1951745806883064675,8739484808616608895,0.9900696330300547,water,100800
1616870942054897183,5981904917151416139,0.8358190157194478,water,100800
1951745806883064675,1984206695053779961,0.5767226562131038,water,100800
1951745806883064675,8040070149115327324,0.11137866244879446,water,100800
1616870942054897183,8040070149115327324,0.03176922345737809,water,100800
1951745806883064675,7441247310698739687,0.7707230766879987,energy,100800
1616870942054897183,6943086220968602647,0.7271086301802185,energy,100800
1951745806883064675,629917933550980167,0.6892986378762416,energy,100800
1616870942054897183,8739484808616608895,0.6600464220199478,energy,100800
1616870942054897183,5981904917151416139,0.5202736693321852,energy,100800
1951745806883064675,1984206695053779961,0.38448177080859036,energy,100800
1951745806883064675,8040070149115327324,0.09543192393743094,energy,100800
1951745806883064675,5981904917151416139,0.034768661627401,energy,100800
9209097491213160672,2303794993764930905,0.13514361934169994,food,100800
9209097491213160672,2303794993764930905,0.10135771450570186,water,100800
9209097491213160672,2303794993764930905,0.06757180967033571,energy,100800
2774544477152754282,7825101020974038775,0.07351607820184691,food,108000
2774544477152754282,7825101020974038775,0.055137058651390625,water,108000
2774544477152754282,7825101020974038775,0.03675803910092634,energy,108000
1522650749917583358,6741109044234432070,0.0697993981445646,food,108000
1522650749917583358,6741109044234432070,0.052349548608471075,water,108000
1522650749917583358,6741109044234432070,0.034899699072310275,energy,108000
9209097491213160672,2303794993764930905,0.13514361934041919,food,108000
9209097491213160672,2303794993764930905,0.10135771450540254,water,108000
9209097491213160672,2303794993764930905,0.06757180967016341,energy,108000
2774544477152754282,7825101020974038775,0.07351607820185047,food,115200
2774544477152754282,7825101020974038775,0.05513705865138596,water,115200
2774544477152754282,7825101020974038775,0.036758039100922346,energy,115200
1522650749917583358,6741109044234432070,0.0697993981445717,food,115200
1522650749917583358,6741109044234432070,0.052349548608435104,water,115200
1522650749917583358,6741109044234432070,0.03489969907229784,energy,115200
8319527847318561915,4570650216307803967,9.834469096858811e-07,food,115200
8319527847318561915,4570650216307803967,4.789922032344407e-07,water,115200
8319527847318561915,4570650216307803967,1.3031691192821881e-07,energy,115200
9209097491213160672,2303794993764930905,0.13514361934007457,food,115200
9209097491213160672,2303794993764930905,0.1013577145055562,water,115200
9209097491213160672,2303794993764930905,0.06757180967043608,energy,115200
7441247310698739687,8040070149115327324,0.19086384787494204,food,122400
7441247310698739687,8040070149115327324,0.14314788590617622,water,122400
7441247310698739687,8040070149115327324,0.09543192393743793,energy,122400
2774544477152754282,7825101020974038775,0.07351607820185047,food,122400
2774544477152754282,7825101020974038775,0.05513705865138463,water,122400
2774544477152754282,7825101020974038775,0.03675803910092368,energy,122400
1522650749917583358,6741109044234432070,0.0697993981445677,food,122400
1522650749917583358,6741109044234432070,0.052349548608444874,water,122400
1522650749917583358,6741109044234432070,0.03489969907229096,energy,122400
4570650216307803967,8319527847318561915,1.367060971091405e-07,food,122400
4570650216307803967,8319527847318561915,3.2231105695501583e-07,water,122400
8319527847318561915,4570650216307803967,6.659018225718683e-08,energy,122400
9209097491213160672,2303794993764930905,0.13514361934028774,food,122400
9209097491213160672,2303794993764930905,0.1013577145053759,water,122400
9209097491213160672,2303794993764930905,0.0675718096701563,energy,122400
7441247310698739687,8040070149115327324,0.06362128262498001,food,129600
7441247310698739687,8040070149115327324,0.047715961968725296,water,129600
7441247310698739687,8040070149115327324,0.03181064131247979,energy,129600
2774544477152754282,7825101020974038775,0.07351607820184736,food,129600
2774544477152754282,7825101020974038775,0.055137058651387516,water,129600
2774544477152754282,7825101020974038775,0.036758039100924345,energy,129600
1522650749917583358,6741109044234432070,0.06979939814458924,food,129600
1522650749917583358,6741109044234432070,0.052349548608438656,water,129600
1522650749917583358,6741109044234432070,0.03489969907230084,energy,129600
9209097491213160672,2303794993764930905,0.13514361934127006,food,129600
9209097491213160672,2303794993764930905,0.10135771450572406,water,129600
9209097491213160672,2303794993764930905,0.06757180967021759,energy,129600
7441247310698739687,8040070149115327324,0.06362128262497935,food,136800
7441247310698739687,8040070149115327324,0.04771596196872574,water,136800
7441247310698739687,8040070149115327324,0.03181064131248024,energy,136800
2774544477152754282,7825101020974038775,0.07351607820184736,food,136800
2774544477152754282,7825101020974038775,0.055137058651386184,water,136800
2774544477152754282,7825101020974038775,0.0367580391009239,energy,136800
1522650749917583358,6741109044234432070,0.0697993981445666,food,136800
1522650749917583358,6741109044234432070,0.05234954860844132,water,136800
1522650749917583358,6741109044234432070,0.03489969907229373,energy,136800
9209097491213160672,2303794993764930905,0.13514361933975483,food,136800
9209097491213160672,2303794993764930905,0.10135771450545938,water,136800
9209097491213160672,2303794993764930905,0.06757180967011323,energy,136800
7441247310698739687,8040070149115327324,0.0636212826249789,food,144000
7441247310698739687,8040070149115327324,0.04771596196872596,water,144000
7441247310698739687,8040070149115327324,0.03181064131248068,energy,144000
2774544477152754282,7825101020974038775,0.07351607820185135,food,144000
2774544477152754282,7825101020974038775,0.05513705865138707,water,144000
2774544477152754282,7825101020974038775,0.03675803910092479,energy,144000
1522650749917583358,6741109044234432070,0.06979939814459768,food,144000
1522650749917583358,6741109044234432070,0.05234954860843999,water,144000
1522650749917583358,6741109044234432070,0.03489969907229151,energy,144000
9209097491213160672,2303794993764930905,0.13514361934073538,food,144000
9209097491213160672,2303794993764930905,0.10135771450602249,water,144000
9209097491213160672,2303794993764930905,0.06757180967062926,energy,144000
7441247310698739687,8040070149115327324,0.06362128262497835,food,151200
7441247310698739687,8040070149115327324,0.047715961968726184,water,151200
7441247310698739687,8040070149115327324,0.031810641312480736,energy,151200
2774544477152754282,7825101020974038775,0.0735160782018498,food,151200
2774544477152754282,7825101020974038775,0.05513705865138485,water,151200
2774544477152754282,7825101020974038775,0.03675803910092401,energy,151200
1522650749917583358,6741109044234432070,0.06979939814457015,food,151200
1522650749917583358,6741109044234432070,0.05234954860844043,water,151200
1522650749917583358,6741109044234432070,0.03489969907229262,energy,151200
9209097491213160672,2303794993764930905,0.13514361934070696,food,151200
9209097491213160672,2303794993764930905,0.10135771450534214,water,151200
9209097491213160672,2303794993764930905,0.06757180967015941,energy,151200
7441247310698739687,8040070149115327324,0.06362128262497779,food,158400
7441247310698739687,8040070149115327324,0.047715961968726406,water,158400
7441247310698739687,8040070149115327324,0.03181064131248129,energy,158400
2774544477152754282,7825101020974038775,0.07351607820185002,food,158400
2774544477152754282,7825101020974038775,0.055137058651386184,water,158400
2774544477152754282,7825101020974038775,0.03675803910092368,energy,158400
1522650749917583358,6741109044234432070,0.06979939814459213,food,158400
1522650749917583358,6741109044234432070,0.05234954860842511,water,158400
1522650749917583358,6741109044234432070,0.0348996990722934,energy,158400
9209097491213160672,2303794993764930905,0.1351436193410196,food,158400
9209097491213160672,2303794993764930905,0.1013577145049851,water,158400
9209097491213160672,2303794993764930905,0.06757180967007459,energy,158400
7441247310698739687,8040070149115327324,0.06362128262497735,food,165600
7441247310698739687,8040070149115327324,0.047715961968726406,water,165600
7441247310698739687,8040070149115327324,0.031810641312481513,energy,165600
2774544477152754282,7825101020974038775,0.07351607820184913,food,165600
2774544477152754282,7825101020974038775,0.05513705865138596,water,165600
2774544477152754282,7825101020974038775,0.0367580391009239,energy,165600
1522650749917583358,6741109044234432070,0.06979939814457903,food,165600
1522650749917583358,6741109044234432070,0.0523495486084411,water,165600
1522650749917583358,6741109044234432070,0.0348996990722924,energy,165600
4570650216307803967,8319527847318561915,2.342543385935869e-07,food,165600
8319527847318561915,4570650216307803967,1.3010595596441021e-06,water,165600
4570650216307803967,8319527847318561915,9.326043048929478e-08,energy,165600
9209097491213160672,2303794993764930905,0.1351436193402238,food,165600
9209097491213160672,2303794993764930905,0.10135771450538922,water,165600
9209097491213160672,2303794993764930905,0.0675718096703779,energy,165600
7441247310698739687,8040070149115327324,0.0636212826249769,food,172800
7441247310698739687,8040070149115327324,0.04771596196872652,water,172800
7441247310698739687,8040070149115327324,0.03181064131248179,energy,172800
2774544477152754282,7825101020974038775,0.07351607820184936,food,172800
2774544477152754282,7825101020974038775,0.055137058651385296,water,172800
2774544477152754282,7825101020974038775,0.03675803910092379,energy,172800
1522650749917583358,6741109044234432070,0.06979939814458769,food,172800
1522650749917583358,6741109044234432070,0.05234954860843799,water,172800
1522650749917583358,6741109044234432070,0.034899699072291845,energy,172800
4570650216307803967,8319527847318561915,3.7658097085113695e-08,food,172800
4570650216307803967,8319527847318561915,3.2566135832468035e-07,water,172800
8319527847318561915,4570650216307803967,7.894657017004647e-08,energy,172800
9209097491213160672,2303794993764930905,0.13514361934075492,food,172800
9209097491213160672,2303794993764930905,0.10135771450552866,water,172800
9209097491213160672,2303794993764930905,0.06757180967030996,energy,172800
7441247310698739687,8040070149115327324,0.06362128262497668,food,180000
7441247310698739687,8040070149115327324,0.04771596196872663,water,180000
7441247310698739687,8040070149115327324,0.03181064131248201,energy,180000
2774544477152754282,7825101020974038775,0.07351607820184936,food,180000
2774544477152754282,7825101020974038775,0.05513705865138552,water,180000
2774544477152754282,7825101020974038775,0.0367580391009239,energy,180000
1522650749917583358,6741109044234432070,0.06979939814458946,food,180000
1522650749917583358,6741109044234432070,0.05234954860842711,water,180000
1522650749917583358,6741109044234432070,0.0348996990722904,energy,180000
4570650216307803967,8319527847318561915,8.875940871178045e-08,food,180000
4570650216307803967,8319527847318561915,2.978315656321229e-07,water,180000
4570650216307803967,8319527847318561915,1.494054657769084e-08,energy,180000
9209097491213160672,2303794993764930905,0.13514361934114572,food,180000
9209097491213160672,2303794993764930905,0.10135771450524267,water,180000
9209097491213160672,2303794993764930905,0.06757180966995824,energy,180000
7441247310698739687,8040070149115327324,0.06362128262497624,food,187200
7441247310698739687,8040070149115327324,0.047715961968726794,water,187200
7441247310698739687,8040070149115327324,0.031810641312482124,energy,187200
2774544477152754282,7825101020974038775,0.07351607820185002,food,187200
2774544477152754282,7825101020974038775,0.055137058651386406,water,187200
2774544477152754282,7825101020974038775,0.0367580391009239,energy,187200
1522650749917583358,6741109044234432070,0.06979939814457214,food,187200
1522650749917583358,6741109044234432070,0.052349548608449314,water,187200
1522650749917583358,6741109044234432070,0.034899699072293955,energy,187200
9209097491213160672,2303794993764930905,0.1351436193396447,food,187200
9209097491213160672,2303794993764930905,0.10135771450500464,water,187200
9209097491213160672,2303794993764930905,0.06757180967025667,energy,187200
2774544477152754282,7825101020974038775,0.07351607820184936,food,194400
2774544477152754282,7825101020974038775,0.055137058651386184,water,194400
2774544477152754282,7825101020974038775,0.03675803910092379,energy,194400
1522650749917583358,6741109044234432070,0.06979939814459413,food,194400
1522650749917583358,6741109044234432070,0.05234954860843377,water,194400
1522650749917583358,6741109044234432070,0.0348996990722904,energy,194400
8319527847318561915,4570650216307803967,1.9688017971475347e-07,food,194400
8319527847318561915,4570650216307803967,1.1238824537684877e-07,water,194400
8319527847318561915,4570650216307803967,8.397261108683551e-09,energy,194400
5981904917151416139,7441247310698739687,1.414924725403822,food,194400
5981904917151416139,1984206695053779961,0.9087750946388953,food,194400
5981904917151416139,1616870942054897183,0.48285682306826816,food,194400
6943086220968602647,1951745806883064675,0.40860331139731265,food,194400
629917933550980167,1616870942054897183,0.2901436144147005,food,194400
8739484808616608895,8040070149115327324,0.06362128262497582,food,194400
6943086220968602647,1616870942054897183,0.04474036769118772,food,194400
